,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_174878,0.0,0.0,0.0,0.0,0.0,0.0
segment_174879,0.0,0.0,0.0,0.0,0.0,0.0
segment_174880,0.0,0.0,0.0,0.0,0.0,0.0
segment_174881,0.0,0.0,0.0,0.0,0.0,0.0
segment_174882,0.0,0.0,0.0,0.0,0.0,0.0
segment_174883,0.0,0.0,0.0,0.0,0.0,0.0
segment_174884,0.0,0.0,0.0,0.0,0.0,0.0
segment_174885,0.0,0.0,0.0,0.0,0.0,0.0
segment_174886,0.0,0.0,0.0,0.0,0.0,0.0
segment_174887,0.0,0.0,0.0,0.0,0.0,0.0
segment_174888,0.0,0.0,0.0,0.0,0.0,0.0
segment_174889,0.0,0.0,0.0,0.0,0.0,0.0
segment_174890,0.0,0.0,0.0,0.0,0.0,0.0
segment_174891,0.0,0.0,0.0,0.0,0.0,0.0
segment_174892,0.0,0.0,0.0,0.0,0.0,0.0
segment_174893,0.0,0.0,0.0,0.0,0.0,0.0
segment_174894,0.0,0.0,0.0,0.0,0.0,0.0
segment_174895,0.0,0.0,0.0,0.0,0.0,0.0
segment_174896,0.0,0.0,0.00026775,0.0016035,0.005635,0.0021125
segment_174897,0.0,0.0,0.000127725,0.0007255,0.002146,0.000868
segment_174898,0.0,0.0,0.000181,0.001012,0.0027325,0.0012255
segment_174899,0.0,0.0,0.000114775,0.000709,0.00161475,0.00080175
segment_174900,0.0,0.0,0.0,0.0,0.0,0.0
segment_174901,0.0,0.0,0.0,0.0,0.0,0.0
segment_174902,0.0,0.0,0.0,0.0,0.0,0.0
segment_174903,0.0,0.0,0.0,0.0,0.0,0.0
segment_174904,0.0,0.0,0.0,0.0,0.0,0.0
segment_174905,0.0,0.0,0.0,0.0,0.0,0.0
segment_174906,0.0,0.0,0.0,0.0,0.0,0.0
segment_174907,0.0,0.0,0.0,0.0,0.0,0.0
segment_174908,0.0,0.0,6.83e-10,4.575e-09,5.8125e-09,2.7775e-09
segment_174909,0.0,0.0,1.75625e-07,1.067e-06,1.30275e-06,6.445e-07
segment_174910,0.0,0.0,5.39e-08,3.265e-07,4.0225e-07,1.9715e-07
segment_174911,0.0,0.0,0.000151775,0.0013905,0.0018975,0.00134375
segment_174912,0.0,0.0,0.000146275,0.001138,0.00156775,0.0010785
segment_174913,0.0,0.0,0.000174525,0.00167825,0.002297,0.00172975
segment_174914,0.0,0.0,0.000204025,0.0017685,0.002685,0.00184525
segment_174915,0.0,0.0,0.000212925,0.00146625,0.00202375,0.00146425
segment_174916,0.0,0.0,0.0001761,0.00131525,0.00180475,0.00127
segment_174917,0.0,0.0,0.00014355,0.0011415,0.0015075,0.00108725
segment_174918,0.0,0.0,0.00014145,0.00151325,0.0016835,0.001353
segment_174919,0.0,0.0,0.000166775,0.0013295,0.00147525,0.00112875
segment_174920,0.0,0.0,0.00016955,0.00148675,0.00167175,0.001316
segment_174921,0.0,0.0,0.000150475,0.00155,0.00174975,0.00142325
segment_174922,0.0,0.0,0.000136475,0.001731,0.002022,0.0016855
segment_174923,0.0,0.0,0.000109325,0.00166575,0.001876,0.0015715
segment_174924,0.0,0.0,9.6725e-05,0.00070775,0.00077175,0.0005285
segment_174925,0.0,0.0,0.0,0.0,0.0,0.0
segment_174926,0.0,0.0,0.0,0.0,0.0,0.0
segment_174927,0.0,0.0,8.655e-05,0.00063575,0.00069925,0.0004685
segment_174928,0.0,0.0,8.8525e-05,0.00064575,0.0007085,0.0004755
segment_174929,0.0,0.0,8.2975e-05,0.00062,0.00068275,0.000452
segment_174930,0.0,0.0,0.0,0.0,0.0,0.0
segment_174931,0.0,0.0,0.000104925,0.000745,0.00082,0.00054525
segment_174932,0.0,0.0,0.000100075,0.00078775,0.00087275,0.00059325
segment_174933,0.0,0.0,0.000106675,0.00066525,0.000734,0.000489
segment_174934,0.0,0.0,8.8775e-05,0.00074975,0.00083,0.000564
segment_174935,0.0,0.0,0.0001782,0.00129725,0.00143425,0.00101225
segment_174936,0.0,0.0,0.00022105,0.00175175,0.00192025,0.0013915
segment_174937,0.0,0.0,0.000224125,0.0017505,0.00194,0.00139725
segment_174938,0.0,0.0,0.000119725,0.00084325,0.0009235,0.00064425
segment_174939,0.0,0.0,0.000115025,0.00081475,0.0008995,0.00062325
segment_174940,0.0,0.0,0.0,0.0,0.0,0.0
segment_174941,0.0,0.0,0.0,0.0,0.0,0.0
segment_174942,0.0,0.0,0.0,0.0,0.0,0.0
segment_174943,0.0,0.0,0.0,0.0,0.0,0.0
segment_174944,0.0,0.0,0.0,0.0,0.0,0.0
segment_174945,0.0,0.0,0.0,0.0,0.0,0.0
segment_174946,0.0,0.0,0.0,0.0,0.0,0.0
segment_174947,0.0,0.0,0.0,0.0,0.0,0.0
segment_174948,0.0,0.0,0.0,0.0,0.0,0.0
segment_174949,0.0,0.0,0.0,0.0,0.0,0.0
segment_174950,0.0,0.0,2.55e-08,1.261e-07,1.4415e-07,7.8725e-08
segment_174951,0.0,0.0,1.59475e-08,7.4075e-08,8.59e-08,4.635e-08
segment_174952,0.0,0.0,1.804e-08,9.0525e-08,1.03425e-07,5.65e-08
segment_174953,0.0,0.0,7.56e-09,3.99e-08,4.59e-08,2.4805e-08
segment_174954,0.0,0.0,0.0,0.0,0.0,0.0
segment_174955,0.0,0.0,0.0,0.0,0.0,0.0
segment_174956,0.0,0.0,0.0,0.0,0.0,0.0
segment_174957,0.0,0.0,0.0,0.0,0.0,0.0
segment_174958,0.0,0.0,0.0,0.0,0.0,0.0
segment_174959,0.0,0.0,0.0,0.0,0.0,0.0
segment_174960,0.0,0.0,0.0,0.0,0.0,0.0
segment_174961,0.0,0.0,0.0,0.0,0.0,0.0
segment_174962,0.0,0.0,0.0,0.0,0.0,0.0
segment_174963,0.0,0.0,0.0,0.0,0.0,0.0
segment_174964,0.0,0.0,0.0,0.0,0.0,0.0
segment_174965,0.0,0.0,1.3875e-09,8.2825e-09,1.0385e-08,5.01e-09
