,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_8265,0.0,0.0,0.0,0.0,0.0,0.0
segment_8266,0.0,0.0,0.0,0.0,0.0,0.0
segment_8267,0.0,0.0,0.0,0.0,0.0,0.0
segment_8268,0.0,0.0,0.0,0.0,0.0,0.0
segment_8269,0.0,0.0,0.0,0.0,0.0,0.0
segment_8270,0.0,0.0,0.0,0.0,0.0,0.0
segment_8271,0.0,0.0,0.0,0.0,0.0,0.0
segment_8272,0.0,0.0,0.0,0.0,0.0,0.0
segment_8273,0.0,0.0,0.0,0.0,0.0,0.0
segment_8274,0.0,0.0,0.0,0.0,0.0,0.0
segment_8275,0.0,0.0,0.0,0.0,0.0,0.0
segment_8276,0.0,0.0,0.0,0.0,0.0,0.0
segment_8277,0.0,0.0,0.0,0.0,0.0,0.0
segment_8278,0.0,0.0,0.0,0.0,0.0,0.0
segment_8279,0.0,0.0,0.0,0.0,0.0,0.0
segment_8280,0.0,0.0,0.0,0.0,0.0,0.0
segment_8281,0.0,0.0,0.0,0.0,0.0,0.0
segment_8282,0.0,0.0,0.0,0.0,0.0,0.0
segment_8283,0.0,0.0,0.0,0.0,0.0,0.0
segment_8284,0.0,0.0,0.0,0.0,0.0,0.0
segment_8285,0.0,0.0,0.0,0.0,0.0,0.0
segment_8286,0.0,0.0,0.0,0.0,0.0,0.0
segment_8287,0.0,0.0,0.0,0.0,0.0,0.0
segment_8288,0.0,0.0,0.0,0.0,0.0,0.0
segment_8289,0.0,0.0,0.0,0.0,0.0,0.0
segment_8290,0.0,0.0,0.0,0.0,0.0,0.0
segment_8291,0.0,0.0,0.0,0.0,0.0,0.0
segment_8292,0.0,0.0,0.0,0.0,0.0,0.0
segment_8293,0.0,0.0,0.0,0.0,0.0,0.0
segment_8294,0.0,0.0,0.0,0.0,0.0,0.0
segment_8295,0.0,0.0,0.0,0.0,0.0,0.0
segment_8296,0.0,0.0,0.0,0.0,0.0,0.0
segment_8297,0.0,0.0,0.0,0.0,0.0,0.0
