LON,LAT,vs30,z1p0,z2p5,vs30source,vs30_ref,z1p0_ref,z2p5_ref
-124.35,41.85,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.35,41.9,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.35,40.1,180,0.018432457,0.795,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,40.15,180,0.018690977,0.77875,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,40.1,180,0.018180992,0.812,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,40.2,657.8342323,0.018347866,0.81375,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,40.25,468.4,0.039047165,0.924,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,40.3,351.9,0.058956852,0.9425,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,40.35,468.4,0.039138344,0.925333313,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,40.4,468.4,0.039138344,0.924,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,40.45,468.4,0.019417192,0.908,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,40.5,468.4,0.058517834,0.85625,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,40.55,468.4,0.019047165,0.904,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,40.6,228.2,0.019138344,0.904,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
