ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID,n_crossings_with_segment,def_poly_index_crossed,crossing_algo_index,freeface_dist_m,freeface_height_m,lh_ratio,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,theta_rake,psi_dip,beta_crossing,event_id,slip_dir,pgdef_m,sigma,sigma_mu,dist_type,amu,bmu,ls_cond
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,5,45,522215.9106004907,2.5,208886.36424019627,upper,13.5,-118.50175808437547,34.279352880014855,1,45,45,93.4,717.0,173.6,0.2769,0.6,0.25,lognormal,1.746659653541436,-1.843672857417854,ground_slope
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,13,107,522215.9106004907,2.5,208886.36424019627,upper,13.5,-118.50175808437547,34.279352880014855,1,45,45,93.4,1133.0,173.6,0.3173,0.6,0.25,lognormal,0.816940512754734,-1.481485098902557,ground_slope
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,11,91,522215.9106004907,2.5,208886.36424019627,upper,13.5,-118.50175808437547,34.279352880014855,1,45,45,92.4,1131.0,174.6,0.1463,0.6,0.25,lognormal,8.525970461060455,-3.235170523312645,ground_slope
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,14,114,522215.9106004907,2.5,208886.36424019627,upper,13.5,-118.50175808437547,34.279352880014855,1,45,45,93.4,1162.0,173.6,0.2549,0.6,0.25,lognormal,1.614441034518284,-1.850966153988375,ground_slope
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,4,30,522224.6511704568,2.5,208889.8604681827,lower,20.4,-118.50160906290824,34.27935377428879,1,45,45,100.0,654.0,167.0,0.257,0.6,0.25,lognormal,31.892652499519063,-4.007814524403239,ground_slope
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,9,69,522224.6511704568,2.5,208889.8604681827,lower,20.4,-118.50160906290824,34.27935377428879,1,45,45,101.0,1129.0,166.0,0.2529,0.6,0.25,lognormal,6.989528546862585,-3.313430678756472,ground_slope
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,15,121,522215.9106004907,2.5,208886.36424019627,upper,13.5,-118.50175808437547,34.279352880014855,1,45,45,93.4,1238.0,173.6,0.2557,0.6,0.25,lognormal,1.590036326807657,-1.842818601530511,ground_slope
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,2,14,522225.12790367333,2.5,208890.05116146934,lower,20.8,-118.50160093499949,34.27935382305894,1,45,45,102.0,186.0,165.0,0.2503,0.6,0.25,lognormal,3.493880908688133,-3.165167934758962,ground_slope
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,0,6,522215.9106004907,2.5,208886.36424019627,upper,13.5,-118.50175808437547,34.279352880014855,1,45,45,93.4,14.0,173.6,0.2073,0.6,0.25,lognormal,3.811848146537552,-2.437086452352679,ground_slope
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,1,13,522215.9106004907,2.5,208886.36424019627,upper,13.5,-118.50175808437547,34.279352880014855,1,45,45,92.4,185.0,174.6,0.1308,0.6,0.25,lognormal,8.654572440596608,-3.235031108812583,ground_slope
21,-118.50196440012564,34.28471935576782,-118.50197536926548,34.283914097826724,-118.5019698847,34.2843167268,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,3,1,6,49,521753.794510709,2.5,208701.5178042836,upper,188.8,-118.5019656018955,34.28463113629956,1,45,45,15.8,718.0,162.3,0.1695,0.6,0.25,lognormal,1.416201863015561,-2.613813801285005,ground_slope
21,-118.50196440012564,34.28471935576782,-118.50197536926548,34.283914097826724,-118.5019698847,34.2843167268,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,3,1,2,17,521753.794510709,2.5,208701.5178042836,upper,188.8,-118.5019656018955,34.28463113629956,1,45,45,13.1,186.0,165.0,0.2503,0.6,0.25,lognormal,3.493880908688133,-3.165167934758962,ground_slope
21,-118.50196440012564,34.28471935576782,-118.50197536926548,34.283914097826724,-118.5019698847,34.2843167268,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,3,1,4,33,521753.794510709,2.5,208701.5178042836,upper,188.8,-118.5019656018955,34.28463113629956,1,45,45,11.1,654.0,167.0,0.257,0.6,0.25,lognormal,31.892652499519063,-4.007814524403239,ground_slope
21,-118.50196440012564,34.28471935576782,-118.50197536926548,34.283914097826724,-118.5019698847,34.2843167268,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,3,1,9,72,521753.794510709,2.5,208701.5178042836,upper,188.8,-118.5019656018955,34.28463113629956,1,45,45,12.1,1129.0,166.0,0.2529,0.6,0.25,lognormal,6.989528546862585,-3.313430678756472,ground_slope
21,-118.50196440012564,34.28471935576782,-118.50197536926548,34.283914097826724,-118.5019698847,34.2843167268,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,3,1,12,95,521753.794510709,2.5,208701.5178042836,upper,188.8,-118.5019656018955,34.28463113629956,1,45,45,11.1,1132.0,167.0,0.2545,0.6,0.25,lognormal,3.014912666102872,-3.671088817898702,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,7,58,522172.51308326307,2.5,208869.00523330522,upper,82.3,-118.50207896136835,34.27963925687491,1,45,45,3.0,1014.0,174.6,0.1664,0.6,0.25,lognormal,9.260500194703836,-3.391761918375975,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,8,65,522172.5181183872,2.5,208869.0072473549,upper,82.3,-118.50207896153,34.2796391976987,1,45,45,4.0,1015.0,173.6,0.3188,0.6,0.25,lognormal,0.713901653991155,-1.444443570541806,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,5,42,522172.5181183872,2.5,208869.0072473549,upper,82.3,-118.50207896153,34.2796391976987,1,45,45,4.0,717.0,173.6,0.2769,0.6,0.25,lognormal,1.746659653541436,-1.843672857417854,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,3,26,522172.51308326307,2.5,208869.00523330522,upper,82.3,-118.50207896136835,34.27963925687491,1,45,45,3.0,439.0,174.6,0.1493,0.6,0.25,lognormal,6.701321190306817,-2.974881767443999,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,11,88,522172.51308326307,2.5,208869.00523330522,upper,82.3,-118.50207896136835,34.27963925687491,1,45,45,3.0,1131.0,174.6,0.1463,0.6,0.25,lognormal,8.525970461060455,-3.235170523312645,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,13,104,522172.5181183872,2.5,208869.0072473549,upper,82.3,-118.50207896153,34.2796391976987,1,45,45,4.0,1133.0,173.6,0.3173,0.6,0.25,lognormal,0.816940512754734,-1.481485098902557,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,0,3,522172.5181183872,2.5,208869.0072473549,upper,82.3,-118.50207896153,34.2796391976987,1,45,45,4.0,14.0,173.6,0.2073,0.6,0.25,lognormal,3.811848146537552,-2.437086452352679,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,14,111,522172.5181183872,2.5,208869.0072473549,upper,82.3,-118.50207896153,34.2796391976987,1,45,45,4.0,1162.0,173.6,0.2549,0.6,0.25,lognormal,1.614441034518284,-1.850966153988375,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,15,118,522172.5181183872,2.5,208869.0072473549,upper,82.3,-118.50207896153,34.2796391976987,1,45,45,4.0,1238.0,173.6,0.2557,0.6,0.25,lognormal,1.590036326807657,-1.842818601530511,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,10,81,522172.5181183872,2.5,208869.0072473549,upper,82.3,-118.50207896153,34.2796391976987,1,45,45,4.0,1130.0,173.6,0.2003,0.6,0.25,lognormal,3.216881739837401,-2.32434850449777,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,1,10,522172.51308326307,2.5,208869.00523330522,upper,82.3,-118.50207896136835,34.27963925687491,1,45,45,3.0,185.0,174.6,0.1308,0.6,0.25,lognormal,8.654572440596608,-3.235031108812583,ground_slope
32,-118.50216288902014,34.284710406633685,-118.50217005235956,34.28388874260929,-118.5021664707,34.2842995746,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,3,1,6,52,521736.53644961474,2.5,208694.6145798459,upper,184.2,-118.5021630101817,34.28469650992644,1,45,45,15.6,718.0,162.3,0.1695,0.6,0.25,lognormal,1.416201863015561,-2.613813801285005,ground_slope
32,-118.50216288902014,34.284710406633685,-118.50217005235956,34.28388874260929,-118.5021664707,34.2842995746,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,3,1,12,98,521736.53644961474,2.5,208694.6145798459,upper,184.2,-118.5021630101817,34.28469650992644,1,45,45,10.9,1132.0,167.0,0.2545,0.6,0.25,lognormal,3.014912666102872,-3.671088817898702,ground_slope
32,-118.50216288902014,34.284710406633685,-118.50217005235956,34.28388874260929,-118.5021664707,34.2842995746,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,3,1,9,75,521736.53644961474,2.5,208694.6145798459,upper,184.2,-118.5021630101817,34.28469650992644,1,45,45,11.9,1129.0,166.0,0.2529,0.6,0.25,lognormal,6.989528546862585,-3.313430678756472,ground_slope
32,-118.50216288902014,34.284710406633685,-118.50217005235956,34.28388874260929,-118.5021664707,34.2842995746,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,3,1,4,36,521736.53644961474,2.5,208694.6145798459,upper,184.2,-118.5021630101817,34.28469650992644,1,45,45,10.9,654.0,167.0,0.257,0.6,0.25,lognormal,31.892652499519063,-4.007814524403239,ground_slope
32,-118.50216288902014,34.284710406633685,-118.50217005235956,34.28388874260929,-118.5021664707,34.2842995746,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,3,1,2,20,521736.53644961474,2.5,208694.6145798459,upper,184.2,-118.5021630101817,34.28469650992644,1,45,45,12.9,186.0,165.0,0.2503,0.6,0.25,lognormal,3.493880908688133,-3.165167934758962,ground_slope
38,-118.50220586905677,34.27978042248732,-118.5022130323962,34.27895875846293,-118.5022094507,34.2793695905,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,9,1,11,86,522164.65000401577,2.5,208865.8600016063,upper,83.6,-118.5022070708095,34.27964258508457,1,45,45,3.3,1131.0,174.6,0.1463,0.6,0.25,lognormal,8.525970461060455,-3.235170523312645,ground_slope
38,-118.50220586905677,34.27978042248732,-118.5022130323962,34.27895875846293,-118.5022094507,34.2793695905,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,9,1,15,116,522163.7267079801,2.5,208865.49068319204,upper,84.3,-118.5022069758087,34.27965348151408,1,45,45,4.3,1238.0,173.6,0.2557,0.6,0.25,lognormal,1.590036326807657,-1.842818601530511,ground_slope
