,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_4731,0.0,0.0,0.000112075,0.00679,0.01635,0.0066
segment_4732,0.0,0.0,0.0,0.0222,0.133975,0.020135
segment_4733,0.0,0.0,0.0,0.099175,0.25,0.0418
segment_4734,0.0,0.0,0.0,0.059225,0.21595,0.031275
segment_4735,0.0,0.0,0.0,0.0098675,0.08665,0.0143975
segment_4736,0.0,0.0,0.0001742,0.00519,0.0087625,0.00428
segment_4737,0.0,0.0,1.135e-05,0.0001092,0.0001874,6.8375e-05
segment_4738,0.0,0.0,0.0,0.0,0.0,0.0
segment_4739,0.0,0.0,0.0,0.0,0.0,0.0
segment_4740,0.0,0.0,0.0,0.0,0.0,0.0
segment_4741,0.0,0.0,0.0,0.0,0.0,0.0
segment_4742,0.0,0.0,0.0,0.0,0.0,0.0
segment_8184,0.0,0.0,0.0,0.0,0.0,0.0
segment_8185,0.0,0.0,0.0,0.0,0.0,0.0
segment_8186,0.0,0.0,0.0,0.0,0.0,0.0
segment_8187,0.0,0.0,0.0,0.0,0.0,0.0
segment_8188,0.0,0.0,0.0,0.0,0.0,0.0
segment_8189,0.0,0.0,0.0,0.0,0.0,0.0
segment_8190,0.0,0.0,0.0,0.0,0.0,0.0
segment_8191,0.0,0.0,5.67e-07,3.645e-06,6.6025e-06,2.21375e-06
segment_8192,0.0,0.0,0.000291,0.007265,0.0301,0.0084275
segment_8193,0.0,0.0,0.0,0.0459,0.189025,0.02755
segment_8194,0.0,0.0,0.00041325,0.129425,0.25,0.0487
segment_8195,0.0,0.0,0.0013845,0.133375,0.25,0.048875
segment_8196,0.0,0.0,3.48e-05,0.083925,0.25,0.03705
segment_8197,0.0,0.0,0.00031175,0.0272,0.12245,0.0191225
segment_8198,0.0,0.0,0.0006905,0.00885,0.051775,0.009535
segment_8199,0.0,0.0,0.0005485,0.005435,0.019335,0.00455
segment_8200,0.0,0.0,0.0003715,0.004565,0.013545,0.0034375
segment_8201,0.0,0.0,0.0,0.0012155,0.00213675,0.0006095
segment_8202,0.0,0.0,0.0,0.000715,0.00114975,0.00033025
segment_8203,0.0,0.0,0.0,0.00057925,0.000869,0.00025275
segment_8204,0.0,0.0,0.0,0.00037525,0.00053575,0.000155175
segment_8205,0.0,0.0,0.0,0.00027125,0.000391,0.000112075
segment_8206,0.0,0.0,0.0,0.0002014,0.000281,7.9075e-05
segment_8207,0.0,0.0,0.0,0.00017045,0.0002301,6.485e-05
segment_8208,0.0,0.0,0.0,0.000123525,0.00016515,4.6975e-05
segment_8209,0.0,0.0,0.0,8.16e-05,0.000109575,3.0625e-05
segment_8210,0.0,0.0,0.0,6.8725e-05,8.9525e-05,2.53e-05
segment_8211,0.0,0.0,0.0,5.385e-05,7.11e-05,1.9835e-05
segment_8212,0.0,0.0,0.0,4.5575e-05,6.0325e-05,1.67125e-05
segment_8213,0.0,0.0,0.0,4.6375e-05,5.9625e-05,1.669e-05
segment_8214,0.0,0.0,0.0,4.6975e-05,6.1575e-05,1.7195e-05
segment_8215,0.0,0.0,0.0,4.4e-05,5.7975e-05,1.61425e-05
segment_8216,0.0,0.0,0.0,5.68e-05,7.5075e-05,2.0945e-05
segment_8217,0.0,0.0,0.0,5.61e-05,7.4675e-05,2.07625e-05
segment_8218,0.0,0.0,0.0,0.00010885,0.00014535,4.0775e-05
segment_8219,0.0,0.0,0.0,0.0001249,0.000168875,4.7925e-05
segment_8220,0.0,0.0,0.0,0.000164525,0.00022645,6.4275e-05
segment_8221,0.0,0.0,0.0,0.000244625,0.00034125,9.6475e-05
segment_8222,0.0,0.0,0.0,0.00025375,0.000352,0.000100625
segment_8223,0.0,0.0,0.0,0.0004,0.00058175,0.000165925
segment_8224,0.0,0.0,0.0,0.000459,0.00068925,0.000200725
segment_8225,0.0,0.0,0.0,0.00049475,0.0007365,0.0002145
segment_8226,0.0,0.0,0.0,0.00068825,0.00106725,0.00031025
segment_8227,0.0,0.0,0.0,0.00105375,0.0017615,0.00049375
segment_8228,0.0,0.0,0.0,0.00136175,0.00237075,0.000671
segment_8229,0.0,0.0,0.00035825,0.004385,0.012295,0.0032325
segment_8230,0.0,0.0,0.00053925,0.0051125,0.0179825,0.0043075
segment_8231,0.0,0.0,0.0006865,0.008635,0.05015,0.0093275
segment_8232,0.0,0.0,0.00061975,0.0114425,0.066,0.011365
segment_8233,0.0,0.0,0.0001328,0.0235025,0.11405,0.017885
segment_8234,0.0,0.0,7.11e-05,0.05305,0.187125,0.028575
segment_8235,0.0,0.0,0.0004895,0.10435,0.25,0.041925
segment_8236,0.0,0.0,0.00235625,0.1377,0.25,0.04985
segment_8237,0.0,0.0,0.000219475,0.13175,0.25,0.049
segment_8238,0.0,0.0,0.0,0.116475,0.25,0.045825
segment_8239,0.0,0.0,0.0,0.030425,0.15385,0.02274
segment_8240,0.0,0.0,6.3175e-05,0.006875,0.0171875,0.0067325
segment_8241,0.0,0.0,1.14425e-05,0.000107675,0.0001816,6.7325e-05
segment_8242,0.0,0.0,0.0,0.0,0.0,0.0
segment_8243,0.0,0.0,0.0,0.0,0.0,0.0
segment_8244,0.0,0.0,0.0,0.0,0.0,0.0
segment_8245,0.0,0.0,0.0,0.0,0.0,0.0
segment_8246,0.0,0.0,0.0,0.0,0.0,0.0
segment_8247,0.0,0.0,4.3425e-10,2.845e-09,5.8025e-09,1.67e-09
segment_8248,0.0,0.0,1.13075e-05,0.000104825,0.000180475,6.485e-05
segment_8249,0.0,0.0,0.000182375,0.0072225,0.02675,0.0080375
segment_8250,0.0,0.0,0.0,0.0097125,0.085775,0.014295
segment_8251,0.0,0.0,0.000197475,0.003795,0.00622,0.002845
segment_8252,0.0,0.0,8.8e-06,8.2725e-05,0.00013815,5.13e-05
segment_8253,0.0,0.0,0.0,0.0,0.0,0.0
segment_8254,0.0,0.0,0.0,0.0,0.0,0.0
segment_8255,0.0,0.0,0.0,0.0,0.0,0.0
segment_8256,0.0,0.0,0.0,0.0,0.0,0.0
segment_8257,0.0,0.0,0.0,0.0,0.0,0.0
