SourceIndex,Longitude,Latitude,Depth
305386,-115.90000000000002,31.900000000000002,0.0
305387,-115.8,31.900000000000002,0.0
305388,-115.7,31.900000000000002,0.0
305389,-115.59999999999998,31.900000000000002,0.0
305390,-115.49999999999999,31.900000000000002,0.0
305391,-115.39999999999999,31.900000000000002,0.0
305392,-115.3,31.900000000000002,0.0
305393,-115.2,31.900000000000002,0.0
305394,-115.1,31.900000000000002,0.0
305395,-115.0,31.900000000000002,0.0
305396,-114.9,31.900000000000002,0.0
305397,-114.80000000000001,31.900000000000002,0.0
305398,-114.70000000000002,31.900000000000002,0.0
305399,-114.6,31.900000000000002,0.0
305400,-114.5,31.900000000000002,0.0
305401,-114.4,31.900000000000002,0.0
305402,-114.3,31.900000000000002,0.0
305403,-114.2,31.900000000000002,0.0
305404,-117.90000000000002,32.0,0.0
305405,-117.8,32.0,0.0
305406,-117.7,32.0,0.0
305407,-117.6,32.0,0.0
305408,-117.5,32.0,0.0
305409,-117.4,32.0,0.0
305410,-117.30000000000001,32.0,0.0
305411,-117.20000000000002,32.0,0.0
305412,-117.1,32.0,0.0
305413,-117.0,32.0,0.0
305414,-116.9,32.0,0.0
305415,-116.80000000000001,32.0,0.0
305416,-116.69999999999999,32.0,0.0
305417,-116.6,32.0,0.0
305418,-116.5,32.0,0.0
305419,-116.4,32.0,0.0
305420,-116.3,32.0,0.0
305421,-116.2,32.0,0.0
305422,-116.10000000000001,32.0,0.0
305423,-116.00000000000001,32.0,0.0
305424,-115.90000000000002,32.0,0.0
305425,-115.8,32.0,0.0
305426,-115.7,32.0,0.0
305427,-115.59999999999998,32.0,0.0
305428,-115.49999999999999,32.0,0.0
305429,-115.39999999999999,32.0,0.0
305430,-115.3,32.0,0.0
305431,-115.2,32.0,0.0
305432,-115.1,32.0,0.0
305433,-115.0,32.0,0.0
305434,-114.9,32.0,0.0
305435,-114.80000000000001,32.0,0.0
305436,-114.70000000000002,32.0,0.0
305437,-114.6,32.0,0.0
305438,-114.5,32.0,0.0
305439,-114.4,32.0,0.0
305440,-114.3,32.0,0.0
305441,-114.2,32.0,0.0
305442,-114.10000000000001,32.0,0.0
305443,-114.00000000000001,32.0,0.0
305444,-118.00000000000001,32.1,0.0
305445,-117.90000000000002,32.1,0.0
305446,-117.8,32.1,0.0
305447,-117.7,32.1,0.0
305448,-117.6,32.1,0.0
305449,-117.5,32.1,0.0
305450,-117.4,32.1,0.0
305451,-117.30000000000001,32.1,0.0
305452,-117.20000000000002,32.1,0.0
305453,-117.1,32.1,0.0
305454,-117.0,32.1,0.0
305455,-116.9,32.1,0.0
305456,-116.80000000000001,32.1,0.0
305457,-116.69999999999999,32.1,0.0
305458,-116.6,32.1,0.0
305459,-116.5,32.1,0.0
305460,-116.4,32.1,0.0
305461,-116.3,32.1,0.0
305462,-116.2,32.1,0.0
305463,-116.10000000000001,32.1,0.0
305464,-116.00000000000001,32.1,0.0
305465,-115.90000000000002,32.1,0.0
305466,-115.8,32.1,0.0
305467,-115.7,32.1,0.0
305468,-115.59999999999998,32.1,0.0
305469,-115.49999999999999,32.1,0.0
305470,-115.39999999999999,32.1,0.0
