ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,section_crossed,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,beta_crossing,psi_dip,theta_rake
939,-121.9663235,38.62041679,-121.9652481,38.6204071,-121.9657858,38.620411945,0.093433,899,76.2,939,1,46.8,90.0,117.0,153.0,,,46.8,-121.9657858,38.620411944999994,0.25,135,15,45
940,-121.9652481,38.6204071,-121.9652481,38.62032318,-121.9652481,38.62036514,0.009331,899,76.2,940,1,4.7,179.4,112.0,112.60000000000002,,,4.7,-121.96524810000001,38.62036514,0.25,135,15,45
2251,-123.1153869,38.96111607,-123.1153586,38.96112249,-123.11537275,38.96111928,0.002549,936,76.2,2251,1,1.3,73.9,3.0,109.1,,,1.3,-123.11537275,38.96111928,0.25,135,15,45
2252,-123.1153586,38.96112249,-123.1153254,38.96102787,-123.115342,38.96107518,0.010906,936,76.2,2252,1,5.4,164.8,3.0,161.80000000000004,,,5.4,-123.115342,38.96107518,0.25,135,15,45
2253,-123.1153254,38.96102787,-123.1152636,38.96104014,-123.1152945,38.961034005,0.005515,936,76.2,2253,1,2.8,75.8,85.0,170.79999999999998,,,2.8,-123.1152945,38.96103400500001,0.25,135,15,45
2254,-123.1152636,38.96104014,-123.1152741,38.961054,-123.11526885,38.96104707,0.001789,936,76.2,2254,1,0.9,329.5,85.0,115.50000000000004,,,0.9,-123.11526884999999,38.961047070000006,0.25,135,15,45
2281,-122.6318588,38.25252151,-122.6317978,38.25259018,-122.6318283,38.252555845,0.00931,950,76.2,2281,1,4.7,34.8,227.0,167.8000000000001,,,4.7,-122.6318283,38.252555844999996,0.25,135,15,45
2282,-122.6317978,38.25259018,-122.6317444,38.25255966,-122.6317711,38.25257492,0.005767,950,76.2,2282,1,2.9,125.7,227.0,101.29999999999998,,,2.9,-122.63177110000001,38.252574919999994,0.25,135,15,45
2283,-122.6317444,38.25255966,-122.6317596,38.25254822,-122.631752,38.25255394,0.001838,950,76.2,2283,1,0.9,226.1,227.0,179.09999999999997,,,0.9,-122.631752,38.25255393999999,0.25,135,15,45
2284,-122.6317596,38.25254822,-122.6317596,38.25254059,-122.6317596,38.252544405,0.000848,950,76.2,2284,1,0.4,179.8,227.0,132.80000000000004,,,0.4,-122.6317596,38.252544404999995,0.25,135,15,45
2415,-122.566658,38.12067032,-122.567131,38.12067032,-122.5668945,38.12067032,0.041377,965,76.2,2415,1,20.7,269.7,269.0,179.30000000000044,,,20.7,-122.5668945,38.120670319999995,0.25,135,15,45
2416,-122.567131,38.12067032,-122.567131,38.12055969,-122.567131,38.120615005,0.012301,965,76.2,2416,1,6.1,179.7,269.0,90.69999999999996,,,6.1,-122.56713100000002,38.120615005,0.25,135,15,45
2417,-122.567131,38.12055969,-122.567215,38.12057114,-122.567173,38.120565415,0.007458,965,76.2,2417,1,3.7,279.5,269.0,169.5,,,3.7,-122.567173,38.12056541500001,0.25,135,15,45
2797,-122.2603342,37.79032824,-122.2602921,37.79039383,-122.26031315,37.790361035,0.008178,991,76.2,2797,1,4.1,26.5,189.0,162.50000000000003,,,4.1,-122.26031315000002,37.790361035,0.25,135,15,45
2798,-122.2602921,37.79039383,-122.2602005,37.79035568,-122.2602463,37.790374755,0.009099,991,76.2,2798,1,4.6,117.2,189.0,108.20000000000002,,,4.6,-122.2602463,37.790374755,0.25,135,15,45
2799,-122.2602005,37.79035568,-122.2602539,37.79027939,-122.2602272,37.790317535,0.009694,991,76.2,2799,1,4.8,208.6,189.0,160.4,,,4.8,-122.2602272,37.790317535,0.25,135,15,45
2800,-122.2602539,37.79027939,-122.2603607,37.79025269,-122.2603073,37.79026604,0.009843,991,76.2,2800,1,4.9,252.1,189.0,116.9,,,4.9,-122.2603073,37.790266039999985,0.25,135,15,45
2801,-122.2603607,37.79025269,-122.2604226,37.79017602,-122.26039165,37.790214355,0.010113,991,76.2,2801,1,5.1,212.2,189.0,156.79999999999998,,,5.1,-122.26039165,37.790214354999996,0.25,135,15,45
4333,-121.577241,39.00643669,-121.5766077,39.00663487,-121.57692435,39.00653578,0.058992,1035,101.6,4333,1,29.5,67.2,356.0,108.80000000000004,,,29.5,-121.57692435000001,39.00653578,0.25,135,15,45
