event_id,magnitude,annual_rate,dip,rake,dip_dir,z_tor,z_bor,fault_trace
131.0,7.35,0.000454,90.0,-9.7,52.5,0.0,13.9,"[[-116.153, 34.173, 0.0], [-116.185, 34.225, 0.0], [-116.217, 34.278, 0.0], [-116.222, 34.287, 0.0], [-116.247, 34.332, 0.0], [-116.264, 34.361, 0.0], [-116.28, 34.384, 0.0], [-116.314, 34.436, 0.0], [-116.342, 34.477, 0.0], [-116.352, 34.486, 0.0], [-116.399, 34.53, 0.0], [-116.447, 34.574, 0.0], [-116.458, 34.585, 0.0], [-116.486, 34.623, 0.0], [-116.495, 34.635, 0.0], [-116.527, 34.672, 0.0], [-116.529, 34.674, 0.0], [-116.561, 34.719, 0.0], [-116.564, 34.722, 0.0], [-116.596, 34.752, 0.0], [-116.61, 34.768, 0.0], [-116.652, 34.816, 0.0], [-116.689, 34.857, 0.0], [-116.697, 34.862, 0.0], [-116.754, 34.898, 0.0], [-116.795, 34.924, 0.0], [-116.813, 34.931, 0.0], [-116.837, 34.939, 0.0], [-116.873, 34.963, 0.0]]"
132.0,6.45,0.000449,90.0,6.3,46.2,0.0,15.1,"[[-116.578, 34.582, 0.0], [-116.642, 34.626, 0.0], [-116.674, 34.647, 0.0], [-116.702, 34.672, 0.0], [-116.734, 34.699, 0.0]]"
133.0,6.45,0.000449,90.0,6.3,46.2,0.0,15.1,"[[-116.734, 34.699, 0.0], [-116.761, 34.719, 0.0], [-116.808, 34.752, 0.0], [-116.824, 34.762, 0.0], [-116.857, 34.783, 0.0], [-116.874, 34.814, 0.0], [-116.884, 34.831, 0.0]]"
134.0,6.95,7.74e-05,90.0,6.3,46.2,0.0,15.1,"[[-116.578, 34.582, 0.0], [-116.642, 34.626, 0.0], [-116.674, 34.647, 0.0], [-116.702, 34.672, 0.0], [-116.734, 34.699, 0.0], [-116.761, 34.719, 0.0], [-116.808, 34.752, 0.0], [-116.824, 34.762, 0.0], [-116.857, 34.783, 0.0], [-116.874, 34.814, 0.0], [-116.884, 34.831, 0.0]]"
137.0,6.25,0.000125,37.0,54.1,71.1,1.6,7.3,"[[-117.473, 32.834, 1.6], [-117.462, 32.875, 1.6], [-117.451, 32.916, 1.6], [-117.443, 32.947, 1.6], [-117.444, 32.957, 1.6]]"
138.0,6.25,0.000125,37.0,54.1,71.1,1.6,7.3,"[[-117.444, 32.957, 1.6], [-117.447, 32.999, 1.6], [-117.448, 33.012, 1.6], [-117.471, 33.034, 1.6], [-117.488, 33.05, 1.6], [-117.512, 33.051, 1.6]]"
139.0,6.75,5.16e-05,37.0,54.1,71.1,1.6,7.3,"[[-117.473, 32.834, 1.6], [-117.462, 32.875, 1.6], [-117.451, 32.916, 1.6], [-117.443, 32.947, 1.6], [-117.444, 32.957, 1.6], [-117.447, 32.999, 1.6], [-117.448, 33.012, 1.6], [-117.471, 33.034, 1.6], [-117.488, 33.05, 1.6], [-117.512, 33.051, 1.6]]"
144.0,6.35,4.75e-05,75.0,58.1,213.1,0.0,12.0,"[[-120.609, 34.93, 0.0], [-120.584, 34.915, 0.0], [-120.531, 34.883, 0.0], [-120.494, 34.86, 0.0], [-120.475, 34.857, 0.0]]"
145.0,6.35,4.75e-05,75.0,58.1,213.1,0.0,12.0,"[[-120.475, 34.857, 0.0], [-120.411, 34.846, 0.0], [-120.397, 34.844, 0.0], [-120.373, 34.807, 0.0]]"
146.0,6.85,3.22e-05,75.0,58.1,213.1,0.0,12.0,"[[-120.761, 34.984, 0.0], [-120.702, 34.96, 0.0], [-120.699, 34.959, 0.0], [-120.641, 34.94, 0.0], [-120.609, 34.93, 0.0], [-120.584, 34.915, 0.0], [-120.531, 34.883, 0.0], [-120.494, 34.86, 0.0], [-120.475, 34.857, 0.0], [-120.411, 34.846, 0.0], [-120.397, 34.844, 0.0], [-120.373, 34.807, 0.0]]"
