SectionID,SectionName,SectionTrace
680,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 8","[[-121.53499, 36.84528, 0.0], [-121.52059, 36.8348, 0.0], [-121.47635, 36.80405, 0.0]]"
580,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 7","[[-121.59278, 36.88729, 0.0], [-121.53499, 36.84528, 0.0]]"
2046,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 6","[[-121.65335, 36.92666, 0.0], [-121.61674, 36.90468, 0.0], [-121.59278, 36.88729, 0.0]]"
966,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 5","[[-121.7094, 36.97005, 0.0], [-121.66466, 36.93344, 0.0], [-121.65335, 36.92666, 0.0]]"
76,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 4","[[-121.7591, 37.01812, 0.0], [-121.73022, 36.98707, 0.0], [-121.7094, 36.97005, 0.0]]"
645,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 3","[[-121.81965, 37.05734, 0.0], [-121.7641, 37.02349, 0.0], [-121.7591, 37.01812, 0.0]]"
1026,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 2","[[-121.88405, 37.09287, 0.0], [-121.81994, 37.05752, 0.0], [-121.81965, 37.05734, 0.0]]"
2078,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 1","[[-121.94272, 37.13425, 0.0], [-121.88688, 37.09443, 0.0], [-121.88405, 37.09287, 0.0]]"
103,"Butano 2011 CFM, Subsection 0","[[-121.92809, 37.12111, 0.0], [-121.98754, 37.14236, 0.0]]"
1187,"Butano 2011 CFM, Subsection 1","[[-121.98754, 37.14236, 0.0], [-121.99243, 37.1441, 0.0], [-122.04008, 37.17293, 0.0]]"
2293,"Butano 2011 CFM, Subsection 2","[[-122.04008, 37.17293, 0.0], [-122.0811, 37.19771, 0.0], [-122.09447, 37.2002, 0.0]]"
1842,"Monte Vista - Shannon 2011 CFM, Subsection 4","[[-122.05656, 37.30451, 0.0], [-122.01027, 37.27489, 0.0], [-121.98972, 37.26299, 0.0]]"
548,"Monte Vista - Shannon 2011 CFM, Subsection 3","[[-122.10892, 37.35666, 0.0], [-122.10292, 37.35314, 0.0], [-122.06992, 37.31305, 0.0], [-122.05656, 37.30451, 0.0]]"
2235,"San Andreas (Peninsula) 2011 CFM, Subsection 2","[[-122.0946, 37.25948, 0.0], [-122.11594, 37.27902, 0.0], [-122.14343, 37.29976, 0.0]]"
