event_id,magnitude,annual_rate,dip,rake,dip_dir,z_tor,z_bor,fault_trace
418.0,7.05,0.00211,82.0,0.1,60.7,0.0,11.1,"[[-122.178, 37.782, 0.0], [-122.209, 37.823, 0.0], [-122.216, 37.832, 0.0], [-122.242, 37.864, 0.0], [-122.276, 37.904, 0.0], [-122.297, 37.929, 0.0], [-122.31, 37.943, 0.0], [-122.345, 37.982, 0.0], [-122.381, 38.022, 0.0], [-122.413, 38.057, 0.0], [-122.415, 38.061, 0.0], [-122.443, 38.104, 0.0], [-122.444, 38.106, 0.0], [-122.459, 38.15, 0.0]]"
419.0,6.55,0.00342,76.0,0.2,52.4,0.0,13.4,"[[-121.802, 37.397, 0.0], [-121.858, 37.44, 0.0], [-121.913, 37.482, 0.0], [-121.915, 37.483, 0.0], [-121.955, 37.533, 0.0]]"
420.0,6.55,0.00342,76.0,0.2,52.4,0.0,13.4,"[[-121.955, 37.533, 0.0], [-121.996, 37.585, 0.0], [-122.004, 37.595, 0.0], [-122.044, 37.633, 0.0], [-122.051, 37.64, 0.0], [-122.092, 37.681, 0.0], [-122.135, 37.732, 0.0]]"
421.0,7.05,0.00334,76.0,0.2,52.4,0.0,13.4,"[[-121.802, 37.397, 0.0], [-121.858, 37.44, 0.0], [-121.913, 37.482, 0.0], [-121.915, 37.483, 0.0], [-121.955, 37.533, 0.0], [-121.996, 37.585, 0.0], [-122.004, 37.595, 0.0], [-122.044, 37.633, 0.0], [-122.051, 37.64, 0.0], [-122.092, 37.681, 0.0], [-122.135, 37.732, 0.0]]"
422.0,6.15,0.00358,48.0,3.4,56.0,0.0,5.1,"[[-121.664, 37.234, 0.0], [-121.697, 37.247, 0.0], [-121.725, 37.258, 0.0], [-121.726, 37.263, 0.0], [-121.736, 37.292, 0.0], [-121.74, 37.303, 0.0], [-121.752, 37.318, 0.0], [-121.773, 37.343, 0.0], [-121.775, 37.346, 0.0], [-121.788, 37.37, 0.0]]"
423.0,6.65,0.00131,48.0,3.4,56.0,0.0,5.1,"[[-121.664, 37.234, 0.0], [-121.697, 37.247, 0.0], [-121.725, 37.258, 0.0], [-121.726, 37.263, 0.0], [-121.736, 37.292, 0.0], [-121.74, 37.303, 0.0], [-121.752, 37.318, 0.0], [-121.773, 37.343, 0.0], [-121.775, 37.346, 0.0], [-121.788, 37.37, 0.0]]"
473.0,6.15,0.00409,90.0,0.3,62.4,0.0,10.6,"[[-122.223, 38.415, 0.0], [-122.245, 38.456, 0.0], [-122.25, 38.466, 0.0], [-122.246, 38.5, 0.0]]"
474.0,6.15,0.00409,90.0,0.3,62.4,0.0,10.6,"[[-122.246, 38.5, 0.0], [-122.241, 38.544, 0.0], [-122.24, 38.555, 0.0], [-122.264, 38.583, 0.0], [-122.295, 38.62, 0.0], [-122.299, 38.623, 0.0]]"
475.0,6.15,0.00409,90.0,0.3,62.4,0.0,10.6,"[[-122.299, 38.623, 0.0], [-122.335, 38.651, 0.0], [-122.344, 38.658, 0.0], [-122.373, 38.684, 0.0], [-122.411, 38.718, 0.0]]"
476.0,6.65,0.00217,90.0,0.3,62.4,0.0,10.6,"[[-122.223, 38.415, 0.0], [-122.245, 38.456, 0.0], [-122.25, 38.466, 0.0], [-122.246, 38.5, 0.0], [-122.241, 38.544, 0.0], [-122.24, 38.555, 0.0], [-122.264, 38.583, 0.0], [-122.295, 38.62, 0.0], [-122.299, 38.623, 0.0], [-122.335, 38.651, 0.0], [-122.344, 38.658, 0.0], [-122.373, 38.684, 0.0], [-122.411, 38.718, 0.0]]"
