ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,x1,y1,x2,y2,qfault_crossed,psi_dip,theta_rake,rake_azimuth,crossing_lon,crossing_lat,beta_crossing,l_anchor,qfault_type,prob_crossing,event_ind,event_id,norm_dist
165285,-122.142578,38.18103448,-122.1424915,38.18023082,-122.14253475,38.18063265,0.089682,2677,609.6,165285,1,278.9,174.6,61.0,113.6,575094.5926475722,4226248.8272416135,575102.9936416531,4226159.724456447,1698,84.0,180.0,344.1,-122.142578,38.18103448,169.5,278.9,primary,0.0818,392,397,0.3777
165285,-122.142578,38.18103448,-122.1424915,38.18023082,-122.14253475,38.18063265,0.089682,2677,609.6,165285,1,278.9,174.6,61.0,113.6,575094.5926475722,4226248.8272416135,575102.9936416531,4226159.724456447,1698,84.0,180.0,344.1,-122.142578,38.18103448,169.5,278.9,primary,0.0818,393,398,0.2679
165286,-122.1424915,38.18023082,-122.142405,38.17942715,-122.14244825,38.179828985,0.089683,2677,609.6,165286,1,368.4,174.6,11.0,163.6,575102.9936416531,4226159.724456447,575111.3947976948,4226070.620579772,1698,84.0,180.0,344.1,-122.1424915,38.180230820000006,169.5,368.4,primary,0.0818,392,397,0.3832
165286,-122.1424915,38.18023082,-122.142405,38.17942715,-122.14244825,38.179828985,0.089683,2677,609.6,165286,1,368.4,174.6,11.0,163.6,575102.9936416531,4226159.724456447,575111.3947976948,4226070.620579772,1698,84.0,180.0,344.1,-122.1424915,38.180230820000006,169.5,368.4,primary,0.0818,393,398,0.2655
165287,-122.142405,38.17942715,-122.1423184,38.17862348,-122.1423617,38.179025315,0.089684,2677,609.6,165287,1,457.9,174.6,11.0,163.6,575111.3947976948,4226070.620579772,575119.8048640557,4225981.516802218,1698,84.0,180.0,344.1,-122.14240500000001,38.179427149999995,169.5,457.9,primary,0.0818,392,397,0.3888
165287,-122.142405,38.17942715,-122.1423184,38.17862348,-122.1423617,38.179025315,0.089684,2677,609.6,165287,1,457.9,174.6,11.0,163.6,575111.3947976948,4226070.620579772,575119.8048640557,4225981.516802218,1698,84.0,180.0,344.1,-122.14240500000001,38.179427149999995,169.5,457.9,primary,0.0818,393,398,0.2631
165288,-122.1423184,38.17862348,-122.1422449,38.17815796,-122.14228165,38.17839072,0.052161,2677,609.6,165288,1,528.7,172.4,53.0,119.40000000000003,575119.8048640557,4225981.516802218,575126.7204681606,4225929.923011566,1698,84.0,180.0,344.1,-122.14231840000001,38.17862348,171.7,528.7,primary,0.0375,392,397,0.3943
165288,-122.1423184,38.17862348,-122.1422449,38.17815796,-122.14228165,38.17839072,0.052161,2677,609.6,165288,1,528.7,172.4,53.0,119.40000000000003,575119.8048640557,4225981.516802218,575126.7204681606,4225929.923011566,1698,84.0,180.0,344.1,-122.14231840000001,38.17862348,171.7,528.7,primary,0.0375,393,398,0.2607
165289,-122.1422449,38.17815796,-122.1421714,38.17769244,-122.14220815,38.1779252,0.052161,2677,609.6,165289,1,580.7,172.4,91.0,98.59999999999998,575126.7204681606,4225929.923011566,575133.6361492531,4225878.329229561,1698,84.0,180.0,344.1,-122.14224489999998,38.17815795999999,171.7,580.7,primary,0.0375,392,397,0.3975
165289,-122.1422449,38.17815796,-122.1421714,38.17769244,-122.14220815,38.1779252,0.052161,2677,609.6,165289,1,580.7,172.4,91.0,98.59999999999998,575126.7204681606,4225929.923011566,575133.6361492531,4225878.329229561,1698,84.0,180.0,344.1,-122.14224489999998,38.17815795999999,171.7,580.7,primary,0.0375,393,398,0.2593
165290,-122.1421714,38.17769244,-122.1420754,38.17702693,-122.1421234,38.177359685,0.074476,2677,609.6,165290,1,643.9,173.0,17.0,156.0,575133.6361492531,4225878.329229561,575142.7280279037,4225804.563126838,1698,84.0,180.0,344.1,-122.14217139999998,38.17769244000001,171.1,643.9,primary,0.0574,392,397,0.4008
165290,-122.1421714,38.17769244,-122.1420754,38.17702693,-122.1421234,38.177359685,0.074476,2677,609.6,165290,1,643.9,173.0,17.0,156.0,575133.6361492531,4225878.329229561,575142.7280279037,4225804.563126838,1698,84.0,180.0,344.1,-122.14217139999998,38.17769244000001,171.1,643.9,primary,0.0574,393,398,0.2579
165291,-122.1420754,38.17702693,-122.1419793,38.17636143,-122.14202735,38.17669418,0.074475,2677,609.6,165291,1,718.2,173.0,41.0,132.0,575142.7280279037,4225804.563126838,575151.8287980518,4225730.798230807,1698,84.0,180.0,344.1,-122.14207539999998,38.17702693,171.1,718.2,primary,0.0574,392,397,0.4054
165291,-122.1420754,38.17702693,-122.1419793,38.17636143,-122.14202735,38.17669418,0.074475,2677,609.6,165291,1,718.2,173.0,41.0,132.0,575142.7280279037,4225804.563126838,575151.8287980518,4225730.798230807,1698,84.0,180.0,344.1,-122.14207539999998,38.17702693,171.1,718.2,primary,0.0574,393,398,0.2559
165292,-122.1419793,38.17636143,-122.1419378,38.17588983,-122.14195855,38.17612563,0.052565,2677,609.6,165292,1,781.6,175.5,53.0,122.5,575151.8287980518,4225730.798230807,575155.9481456302,4225678.503907342,1698,84.0,180.0,344.1,-122.14197929999999,38.176361429999986,168.6,781.6,primary,0.0519,392,397,0.4101
165292,-122.1419793,38.17636143,-122.1419378,38.17588983,-122.14195855,38.17612563,0.052565,2677,609.6,165292,1,781.6,175.5,53.0,122.5,575151.8287980518,4225730.798230807,575155.9481456302,4225678.503907342,1698,84.0,180.0,344.1,-122.14197929999999,38.176361429999986,168.6,781.6,primary,0.0519,393,398,0.2539
165293,-122.1419378,38.17588983,-122.1418963,38.17541824,-122.14191705,38.175654035,0.052564,2677,609.6,165293,1,834.1,175.5,142.0,146.5,575155.9481456302,4225678.503907342,575160.0675247024,4225626.210698937,1698,84.0,180.0,344.1,-122.1419378,38.175889829999996,168.6,834.1,primary,0.0519,392,397,0.4133
165293,-122.1419378,38.17588983,-122.1418963,38.17541824,-122.14191705,38.175654035,0.052564,2677,609.6,165293,1,834.1,175.5,142.0,146.5,575155.9481456302,4225678.503907342,575160.0675247024,4225626.210698937,1698,84.0,180.0,344.1,-122.1419378,38.175889829999996,168.6,834.1,primary,0.0519,393,398,0.2525
165294,-122.1418963,38.17541824,-122.1418839,38.17493952,-122.1418901,38.17517888,0.053242,2677,609.6,165294,1,886.9,178.3,105.0,106.7,575160.0675247024,4225626.210698937,575161.6453804056,4225573.102766373,1698,84.0,180.0,344.1,-122.1418963,38.175418240000006,165.8,886.9,primary,0.0653,392,397,0.4165
165294,-122.1418963,38.17541824,-122.1418839,38.17493952,-122.1418901,38.17517888,0.053242,2677,609.6,165294,1,886.9,178.3,105.0,106.7,575160.0675247024,4225626.210698937,575161.6453804056,4225573.102766373,1698,84.0,180.0,344.1,-122.1418963,38.175418240000006,165.8,886.9,primary,0.0653,393,398,0.2511
176013,-121.9430765,37.41971351,-121.9423208,37.41987678,-121.94269865,37.419795145,0.069162,2707,762.0,176013,1,1930.4,74.2,0.0,105.8,593522.8805608326,4141958.3983876165,593589.5481853528,4141977.2624825067,2600,75.0,163.3,146.0,-121.942359286762,37.419868465018055,71.8,1930.4,primary,0.3195,1161,1167,0.3489
176013,-121.9430765,37.41971351,-121.9423208,37.41987678,-121.94269865,37.419795145,0.069162,2707,762.0,176013,1,1930.4,74.2,0.0,105.8,593522.8805608326,4141958.3983876165,593589.5481853528,4141977.2624825067,2600,75.0,163.3,146.0,-121.942359286762,37.419868465018055,71.8,1930.4,primary,0.3195,1162,1168,0.0909
176014,-121.9423208,37.41987678,-121.9413174,37.42010494,-121.9418191,37.41999086,0.092172,2707,762.0,176014,1,1916.5,73.4,264.0,169.40000000000003,593589.5481853528,4141977.2624825067,593678.0532149452,4142003.5725103687,2600,75.0,163.3,146.0,-121.94232080000002,37.41987678,72.6,1916.5,primary,0.4281,1161,1167,0.3506
176014,-121.9423208,37.41987678,-121.9413174,37.42010494,-121.9418191,37.41999086,0.092172,2707,762.0,176014,1,1916.5,73.4,264.0,169.40000000000003,593589.5481853528,4141977.2624825067,593678.0532149452,4142003.5725103687,2600,75.0,163.3,146.0,-121.94232080000002,37.41987678,72.6,1916.5,primary,0.4281,1162,1168,0.0913
