SegmentID,SegmentName,SegmentTrace
2291,"San Andreas (Mojave S), Subsection 6","[[-118.11971, 34.55375, 0.0], [-118.10394, 34.54785, 0.0], [-118.05582, 34.52804, 0.0]]"
2145,"San Andreas (Mojave S), Subsection 7","[[-118.05582, 34.52804, 0.0], [-117.99225, 34.50181, 0.0]]"
134,"San Andreas (Mojave S), Subsection 8","[[-117.99225, 34.50181, 0.0], [-117.92872, 34.47556, 0.0]]"
1485,"San Andreas (Mojave S), Subsection 9","[[-117.92872, 34.47556, 0.0], [-117.86522, 34.44927, 0.0]]"
1422,"San Andreas (North Coast) 2011 CFM, Subsection 17","[[-123.27407, 38.55575, 0.0], [-123.31036, 38.59103, 0.0], [-123.31246, 38.59317, 0.0]]"
7,"San Andreas (North Coast) 2011 CFM, Subsection 16","[[-123.23573, 38.5183, 0.0], [-123.26219, 38.54419, 0.0], [-123.27407, 38.55575, 0.0]]"
1435,"San Andreas (North Coast) 2011 CFM, Subsection 15","[[-123.19692, 38.48118, 0.0], [-123.21689, 38.49986, 0.0], [-123.23573, 38.5183, 0.0]]"
1660,"San Andreas (North Coast) 2011 CFM, Subsection 14","[[-123.15761, 38.44438, 0.0], [-123.19692, 38.48118, 0.0]]"
1770,"San Andreas (North Coast) 2011 CFM, Subsection 13","[[-123.11838, 38.40755, 0.0], [-123.11884, 38.40803, 0.0], [-123.15761, 38.44438, 0.0]]"
1035,"San Andreas (North Coast) 2011 CFM, Subsection 12","[[-123.08168, 38.36916, 0.0], [-123.11838, 38.40755, 0.0]]"
1575,"San Andreas (North Coast) 2011 CFM, Subsection 11","[[-123.04885, 38.32869, 0.0], [-123.07988, 38.36727, 0.0], [-123.08168, 38.36916, 0.0]]"
431,"San Andreas (North Coast) 2011 CFM, Subsection 10","[[-123.01624, 38.28811, 0.0], [-123.04885, 38.32869, 0.0]]"
545,"San Andreas (North Coast) 2011 CFM, Subsection 9","[[-122.98424, 38.24725, 0.0], [-123.0007, 38.26875, 0.0], [-123.01624, 38.28811, 0.0]]"
2875,"San Andreas (North Coast) 2011 CFM, Subsection 8","[[-122.95068, 38.20722, 0.0], [-122.9683, 38.22641, 0.0], [-122.98424, 38.24725, 0.0]]"
