SourceIndex,Longitude,Latitude,Depth
355633,-116.5,32.9,0
355634,-116.4,32.9,0
355635,-116.3,32.9,0
355636,-116.2,32.9,0
355637,-116.1,32.9,0
355638,-116,32.9,0
355639,-115.9,32.9,0
355640,-115.8,32.9,0
355641,-115.7,32.9,0
355642,-115.6,32.9,0
355643,-115.5,32.9,0
355644,-115.4,32.9,0
355645,-115.3,32.9,0
355646,-115.2,32.9,0
355647,-115.1,32.9,0
355648,-115,32.9,0
355649,-114.9,32.9,0
355650,-114.8,32.9,0
355651,-114.7,32.9,0
355652,-114.6,32.9,0
355653,-114.5,32.9,0
355654,-114.4,32.9,0
355655,-114.3,32.9,0
355656,-114.2,32.9,0
355657,-114.1,32.9,0
355658,-114,32.9,0
355659,-113.9,32.9,0
355660,-113.8,32.9,0
355661,-113.7,32.9,0
355662,-113.6,32.9,0
355663,-118.9,33,0
355664,-118.8,33,0
355665,-118.7,33,0
355666,-118.6,33,0
355667,-118.5,33,0
355668,-118.4,33,0
355669,-118.3,33,0
355670,-118.2,33,0
355671,-118.1,33,0
355672,-118,33,0
355673,-117.9,33,0
355674,-117.8,33,0
355675,-117.7,33,0
355676,-117.6,33,0
355677,-117.5,33,0
355678,-117.4,33,0
355679,-117.3,33,0
355680,-117.2,33,0
355681,-117.1,33,0
355682,-117,33,0
355683,-116.9,33,0
355684,-116.8,33,0
355685,-116.7,33,0
355686,-116.6,33,0
355687,-116.5,33,0
355688,-116.4,33,0
355689,-116.3,33,0
355690,-116.2,33,0
355691,-116.1,33,0
355692,-116,33,0
355693,-115.9,33,0
355694,-115.8,33,0
355695,-115.7,33,0
355696,-115.6,33,0
355697,-115.5,33,0
355698,-115.4,33,0
355699,-115.3,33,0
355700,-115.2,33,0
355701,-115.1,33,0
355702,-115,33,0
355703,-114.9,33,0
355704,-114.8,33,0
355705,-114.7,33,0
355706,-114.6,33,0
355707,-114.5,33,0
355708,-114.4,33,0
355709,-114.3,33,0
355710,-114.2,33,0
355711,-114.1,33,0
355712,-114,33,0
355713,-113.9,33,0
355714,-113.8,33,0
355715,-113.7,33,0
355716,-113.6,33,0
355717,-113.5,33,0
355718,-119.2,33.1,0
355719,-119.1,33.1,0
355720,-119,33.1,0
355721,-118.9,33.1,0
355722,-118.8,33.1,0
355723,-118.7,33.1,0
355724,-118.6,33.1,0
355725,-118.5,33.1,0
355726,-118.4,33.1,0
355727,-118.3,33.1,0
355728,-118.2,33.1,0
355729,-118.1,33.1,0
355730,-118,33.1,0
355731,-117.9,33.1,0
355732,-117.8,33.1,0
355733,-117.7,33.1,0
355734,-117.6,33.1,0
355735,-117.5,33.1,0
355736,-117.4,33.1,0
355737,-117.3,33.1,0
355738,-117.2,33.1,0
355739,-117.1,33.1,0
355740,-117,33.1,0
355741,-116.9,33.1,0
355742,-116.8,33.1,0
355743,-116.7,33.1,0
355744,-116.6,33.1,0
355745,-116.5,33.1,0
355746,-116.4,33.1,0
355747,-116.3,33.1,0
355748,-116.2,33.1,0
355749,-116.1,33.1,0
355750,-116,33.1,0
355751,-115.9,33.1,0
355752,-115.8,33.1,0
355753,-115.7,33.1,0
355754,-115.6,33.1,0
355755,-115.5,33.1,0
355756,-115.4,33.1,0
355757,-115.3,33.1,0
355758,-115.2,33.1,0
355759,-115.1,33.1,0
355760,-115,33.1,0
355761,-114.9,33.1,0
355762,-114.8,33.1,0
355763,-114.7,33.1,0
355764,-114.6,33.1,0
355765,-114.5,33.1,0
355766,-114.4,33.1,0
355767,-114.3,33.1,0
355768,-114.2,33.1,0
355769,-114.1,33.1,0
355770,-114,33.1,0
355771,-113.9,33.1,0
355772,-113.8,33.1,0
355773,-113.7,33.1,0
355774,-113.6,33.1,0
355775,-113.5,33.1,0
355776,-119.5,33.2,0
355777,-119.4,33.2,0
355778,-119.3,33.2,0
355779,-119.2,33.2,0
355780,-119.1,33.2,0
355781,-119,33.2,0
355782,-118.9,33.2,0
355783,-118.8,33.2,0
355784,-118.7,33.2,0
355785,-118.6,33.2,0
355786,-118.5,33.2,0
355787,-118.4,33.2,0
355788,-118.3,33.2,0
355789,-118.2,33.2,0
355790,-118.1,33.2,0
355791,-118,33.2,0
355792,-117.9,33.2,0
355793,-117.8,33.2,0
