ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,psi_dip,beta_crossing
33,-118.50217005235956,34.28388874260929,-118.50217721569902,34.2830670785849,-118.502173634,34.2834779106,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,4,,319.8,-119.2421862446413,8.25225128351596,0.25,45,90
34,-118.50217721569902,34.2830670785849,-118.50218437903844,34.282245414560506,-118.5021807974,34.2826562466,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,5,,411.2,-119.2421553169634,8.252281517499803,0.25,45,90
35,-118.50218437903844,34.282245414560506,-118.50219154237789,34.281423750536106,-118.5021879607,34.2818345825,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,6,,411.2,-119.24212439009001,8.25231175068806,0.25,45,90
36,-118.50219154237789,34.281423750536106,-118.50219870571732,34.28060208651171,-118.502195124,34.2810129185,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,7,,319.8,-119.24209346411435,8.252341982989586,0.25,45,90
37,-118.50219870571732,34.28060208651171,-118.50220586905677,34.27978042248732,-118.5022022874,34.2801912545,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,8,,228.4,-119.24206253911626,8.25237221432635,0.25,45,90
38,-118.50220586905677,34.27978042248732,-118.5022130323962,34.27895875846293,-118.5022094507,34.2793695905,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,9,,137.1,-119.24203161492717,8.25240244486314,0.25,45,90
39,-118.5022130323962,34.27895875846293,-118.50222019573565,34.278137094438534,-118.5022166141,34.2785479265,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,10,,45.7,-119.24200069171565,8.252432674435182,0.25,45,90
40,-118.50222362676791,34.286346843496844,-118.50223222370008,34.28552567917384,-118.5022279252,34.2859362613,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,1,,45.7,-119.24234259659387,8.252098438328469,0.25,45,90
41,-118.50223222370008,34.28552567917384,-118.50224082063222,34.28470451485083,-118.5022365222,34.285115097,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,2,,137.0,-119.24231289749288,8.252127471336328,0.25,45,90
42,-118.50224082063222,34.28470451485083,-118.5022494175644,34.28388335052782,-118.5022451191,34.2842939327,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,3,,228.3,-119.24228319922385,8.252156503522432,0.25,45,90
43,-118.5022494175644,34.28388335052782,-118.50225801449652,34.283062186204816,-118.502253716,34.2834727684,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,4,,319.6,-119.24225350187112,8.252185534804395,0.25,45,90
44,-118.50225801449652,34.283062186204816,-118.5022666114287,34.282241021881816,-118.502262313,34.282651604,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,5,,410.9,-119.24222380551446,8.252214565104214,0.25,45,90
45,-118.5022666114287,34.282241021881816,-118.50227520836084,34.28141985755881,-118.5022709099,34.2818304397,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,6,,410.9,-119.24219410999427,8.252243594577896,0.25,45,90
46,-118.50227520836084,34.28141985755881,-118.502283805293,34.2805986932358,-118.5022795068,34.2810092754,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,7,,319.6,-119.24216441539039,8.25227262314743,0.25,45,90
47,-118.502283805293,34.2805986932358,-118.50229240222517,34.2797775289128,-118.5022881038,34.2801881111,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,8,,228.3,-119.24213472178707,8.25230165073043,0.25,45,90
48,-118.50229240222517,34.2797775289128,-118.50230099915731,34.27895636458979,-118.5022967007,34.2793669468,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,9,,137.0,-119.24210502901579,8.252330677491642,0.25,45,90
49,-118.50230099915731,34.27895636458979,-118.50230959608946,34.27813520026678,-118.5023052976,34.2785457824,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,10,,45.7,-119.24207533715628,8.25235970335312,0.25,45,90
50,-118.50198325225752,34.28633630730642,-118.5019904136899,34.285601484847184,-118.501986833,34.2859688961,0.081711,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,1,,40.9,-119.24214089208195,8.252295618834447,0.25,45,90
51,-118.5019904136899,34.285601484847184,-118.50199757512227,34.28486666238795,-118.5019939944,34.2852340736,0.081711,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,2,,122.6,-119.24211386578138,8.252322038935922,0.25,45,90
52,-118.50199757512227,34.28486666238795,-118.50200473655464,34.28413183992871,-118.5020011558,34.2844992512,0.081711,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,3,,40.9,-119.24208684021114,8.252348458316497,0.25,45,90
53,-118.50200473655464,34.28413183992871,-118.50102758752024,34.28412497397571,-118.501516162,34.284128407,0.089779,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,4,,44.9,-119.24166143279041,8.252764322834162,0.25,45,90
54,-118.50102758752024,34.28412497397571,-118.50103791573392,34.283345817205635,-118.5010327516,34.2837353956,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,5,,43.3,-119.24123635779969,8.253179860654603,0.25,45,90
