LON,LAT
-122.81,38.71
-122.81,38.72
-122.81,38.73
-122.81,38.74
-122.81,38.75
-122.81,38.76
-122.81,38.14
-122.8,38.15
-122.8,38.14
-122.8,38.16
-122.8,38.17
-122.8,38.18
-122.8,38.19
-122.8,38.2
-122.8,38.21
-122.8,38.22
-122.8,38.23
-122.8,38.24
-122.8,38.25
-122.8,38.26
-122.8,38.27
-122.8,38.28
-122.8,38.29
-122.8,38.3
-122.8,38.31
-122.8,38.32
-122.8,38.33
-122.8,38.34
-122.8,38.35
-122.8,38.36
-122.8,38.37
-122.8,38.38
-122.8,38.39
-122.8,38.4
-122.8,38.41
-122.8,38.42
-122.8,38.43
-122.8,38.44
-122.8,38.45
-122.8,38.46
-122.8,38.47
-122.8,38.48
-122.8,38.49
-122.8,38.5
-122.8,38.51
-122.8,38.52
-122.8,38.53
-122.8,38.54
-122.8,38.55
-122.8,38.56
-122.8,38.57
-122.8,38.58
-122.8,38.59
-122.8,38.6
-122.8,38.61
-122.8,38.62
-122.8,38.63
-122.8,38.64
-122.8,38.65
-122.8,38.66
-122.8,38.67
-122.8,38.68
-122.8,38.69
-122.8,38.7
-122.8,38.71
-122.8,38.72
-122.8,38.73
-122.8,38.74
-122.8,38.75
-122.8,38.76
-122.8,38.13
-122.79,38.14
-122.79,38.13
-122.79,38.15
-122.79,38.16
-122.79,38.17
-122.79,38.18
-122.79,38.19
-122.79,38.2
-122.79,38.21
-122.79,38.22
-122.79,38.23
-122.79,38.24
-122.79,38.25
-122.79,38.26
-122.79,38.27
-122.79,38.28
-122.79,38.29
-122.79,38.3
-122.79,38.31
-122.79,38.32
-122.79,38.33
-122.79,38.34
-122.79,38.35
-122.79,38.36
-122.79,38.37
-122.79,38.38
-122.79,38.39
-122.79,38.4
-122.79,38.41
-122.79,38.42
-122.79,38.43
-122.79,38.44
-122.79,38.45
-122.79,38.46
-122.79,38.47
-122.79,38.48
-122.79,38.49
-122.79,38.5
-122.79,38.51
-122.79,38.52
-122.79,38.53
-122.79,38.54
-122.79,38.55
-122.79,38.56
-122.79,38.57
-122.79,38.58
-122.79,38.59
-122.79,38.6
-122.79,38.61
-122.79,38.62
-122.79,38.63
-122.79,38.64
-122.79,38.65
-122.79,38.66
-122.79,38.67
-122.79,38.68
-122.79,38.69
-122.79,38.7
-122.79,38.71
-122.79,38.72
-122.79,38.73
-122.79,38.74
-122.79,38.75
-122.79,38.76
-122.79,38.12
-122.78,38.13
-122.78,38.12
-122.78,38.14
-122.78,38.15
-122.78,38.16
-122.78,38.17
-122.78,38.18
-122.78,38.19
-122.78,38.2
-122.78,38.21
-122.78,38.22
-122.78,38.23
-122.78,38.24
-122.78,38.25
-122.78,38.26
-122.78,38.27
-122.78,38.28
-122.78,38.29
-122.78,38.3
-122.78,38.31
-122.78,38.32
-122.78,38.33
-122.78,38.34
-122.78,38.35
-122.78,38.36
-122.78,38.37
-122.78,38.38
-122.78,38.39
-122.78,38.4
-122.78,38.41
-122.78,38.42
-122.78,38.43
-122.78,38.44
-122.78,38.45
-122.78,38.46
-122.78,38.47
-122.78,38.48
-122.78,38.49
-122.78,38.5
-122.78,38.51
-122.78,38.52
-122.78,38.53
-122.78,38.54
-122.78,38.55
-122.78,38.56
-122.78,38.57
-122.78,38.58
-122.78,38.59
-122.78,38.6
-122.78,38.61
-122.78,38.62
-122.78,38.63
-122.78,38.64
-122.78,38.65
-122.78,38.66
-122.78,38.67
-122.78,38.68
-122.78,38.69
-122.78,38.7
-122.78,38.71
-122.78,38.72
-122.78,38.73
-122.78,38.74
-122.78,38.75
-122.78,38.76
-122.78,38.1
-122.78,38.11
-122.77,38.11
-122.77,38.1
-122.77,38.12
-122.77,38.13
-122.77,38.14
-122.77,38.15
-122.77,38.16
-122.77,38.17
-122.77,38.18
-122.77,38.19
-122.77,38.2
-122.77,38.21
-122.77,38.22
-122.77,38.23
-122.77,38.24
-122.77,38.25
-122.77,38.26
-122.77,38.27
-122.77,38.28
-122.77,38.29
-122.77,38.3
-122.77,38.31
-122.77,38.32
-122.77,38.33
-122.77,38.34
-122.77,38.35
-122.77,38.36
-122.77,38.37
-122.77,38.38
-122.77,38.39
-122.77,38.4
-122.77,38.41
-122.77,38.42
-122.77,38.43
-122.77,38.44
-122.77,38.45
-122.77,38.46
-122.77,38.47
-122.77,38.48
-122.77,38.49
-122.77,38.5
-122.77,38.51
-122.77,38.52
-122.77,38.53
-122.77,38.54
-122.77,38.55
-122.77,38.56
-122.77,38.57
-122.77,38.58
-122.77,38.59
-122.77,38.6
-122.77,38.61
-122.77,38.62
-122.77,38.63
-122.77,38.64
-122.77,38.65
-122.77,38.66
-122.77,38.67
-122.77,38.68
-122.77,38.69
-122.77,38.7
-122.77,38.71
-122.77,38.72
-122.77,38.73
-122.77,38.74
-122.77,38.75
-122.77,38.76
-122.77,38.09
-122.76,38.1
-122.76,38.09
-122.76,38.11
-122.76,38.12
-122.76,38.13
-122.76,38.14
-122.76,38.15
-122.76,38.16
-122.76,38.17
-122.76,38.18
-122.76,38.19
-122.76,38.2
-122.76,38.21
-122.76,38.22
-122.76,38.23
-122.76,38.24
-122.76,38.25
-122.76,38.26
-122.76,38.27
-122.76,38.28
-122.76,38.29
-122.76,38.3
-122.76,38.31
-122.76,38.32
-122.76,38.33
-122.76,38.34
-122.76,38.35
-122.76,38.36
-122.76,38.37
-122.76,38.38
-122.76,38.39
-122.76,38.4
-122.76,38.41
-122.76,38.42
-122.76,38.43
-122.76,38.44
-122.76,38.45
-122.76,38.46
-122.76,38.47
-122.76,38.48
-122.76,38.49
-122.76,38.5
-122.76,38.51
-122.76,38.52
-122.76,38.53
-122.76,38.54
-122.76,38.55
-122.76,38.56
-122.76,38.57
-122.76,38.58
-122.76,38.59
-122.76,38.6
-122.76,38.61
-122.76,38.62
-122.76,38.63
-122.76,38.64
-122.76,38.65
-122.76,38.66
-122.76,38.67
-122.76,38.68
-122.76,38.69
-122.76,38.7
-122.76,38.71
-122.76,38.72
-122.76,38.73
-122.76,38.74
-122.76,38.75
-122.76,38.76
-122.76,38.08
-122.75,38.09
-122.75,38.08
-122.75,38.1
-122.75,38.11
-122.75,38.12
-122.75,38.13
-122.75,38.14
-122.75,38.15
-122.75,38.16
-122.75,38.17
-122.75,38.18
-122.75,38.19
-122.75,38.2
-122.75,38.21
-122.75,38.22
-122.75,38.23
-122.75,38.24
-122.75,38.25
-122.75,38.26
-122.75,38.27
-122.75,38.28
-122.75,38.29
-122.75,38.3
-122.75,38.31
-122.75,38.32
-122.75,38.33
-122.75,38.34
-122.75,38.35
-122.75,38.36
-122.75,38.37
-122.75,38.38
-122.75,38.39
-122.75,38.4
-122.75,38.41
-122.75,38.42
-122.75,38.43
-122.75,38.44
-122.75,38.45
-122.75,38.46
-122.75,38.47
-122.75,38.48
-122.75,38.49
-122.75,38.5
-122.75,38.51
-122.75,38.52
-122.75,38.53
-122.75,38.54
-122.75,38.55
-122.75,38.56
-122.75,38.57
-122.75,38.58
-122.75,38.59
-122.75,38.6
-122.75,38.61
-122.75,38.62
-122.75,38.63
-122.75,38.64
-122.75,38.65
-122.75,38.66
-122.75,38.67
-122.75,38.68
-122.75,38.69
-122.75,38.7
-122.75,38.71
-122.75,38.72
-122.75,38.73
-122.75,38.74
-122.75,38.75
-122.75,38.06
-122.75,38.07
-122.74,38.07
-122.74,38.06
-122.74,38.08
-122.74,38.09
-122.74,38.1
-122.74,38.11
-122.74,38.12
-122.74,38.13
-122.74,38.14
-122.74,38.15
-122.74,38.16
-122.74,38.17
-122.74,38.18
-122.74,38.19
-122.74,38.2
-122.74,38.21
-122.74,38.22
-122.74,38.23
-122.74,38.24
-122.74,38.25
-122.74,38.26
-122.74,38.27
-122.74,38.28
-122.74,38.29
-122.74,38.3
-122.74,38.31
-122.74,38.32
-122.74,38.33
-122.74,38.34
-122.74,38.35
-122.74,38.36
-122.74,38.37
-122.74,38.38
-122.74,38.39
-122.74,38.4
-122.74,38.41
-122.74,38.42
-122.74,38.43
-122.74,38.44
-122.74,38.45
-122.74,38.46
-122.74,38.47
-122.74,38.48
-122.74,38.49
-122.74,38.5
-122.74,38.51
-122.74,38.52
-122.74,38.53
-122.74,38.54
-122.74,38.55
-122.74,38.56
-122.74,38.57
-122.74,38.58
-122.74,38.59
-122.74,38.6
-122.74,38.61
-122.74,38.62
-122.74,38.63
-122.74,38.64
-122.74,38.65
-122.74,38.66
-122.74,38.67
-122.74,38.68
-122.74,38.69
-122.74,38.7
-122.74,38.71
-122.74,38.72
-122.74,38.73
-122.74,38.74
-122.74,38.75
-122.74,38.05
-122.73,38.06
-122.73,38.05
-122.73,38.07
-122.73,38.08
-122.73,38.09
-122.73,38.1
-122.73,38.11
-122.73,38.12
-122.73,38.13
-122.73,38.14
-122.73,38.15
-122.73,38.16
-122.73,38.17
-122.73,38.18
-122.73,38.19
-122.73,38.2
-122.73,38.21
-122.73,38.22
-122.73,38.23
-122.73,38.24
-122.73,38.25
-122.73,38.26
-122.73,38.27
-122.73,38.28
-122.73,38.29
-122.73,38.3
-122.73,38.31
-122.73,38.32
-122.73,38.33
-122.73,38.34
-122.73,38.35
-122.73,38.36
-122.73,38.37
-122.73,38.38
-122.73,38.39
-122.73,38.4
-122.73,38.41
-122.73,38.42
-122.73,38.43
-122.73,38.44
-122.73,38.45
-122.73,38.46
-122.73,38.47
-122.73,38.48
-122.73,38.49
-122.73,38.5
-122.73,38.51
-122.73,38.52
-122.73,38.53
-122.73,38.54
-122.73,38.55
-122.73,38.56
-122.73,38.57
-122.73,38.58
-122.73,38.59
-122.73,38.6
-122.73,38.61
-122.73,38.62
-122.73,38.63
-122.73,38.64
-122.73,38.65
-122.73,38.66
-122.73,38.67
-122.73,38.68
-122.73,38.69
-122.73,38.7
-122.73,38.71
-122.73,38.72
-122.73,38.73
-122.73,38.74
-122.73,38.75
-122.73,38.04
-122.72,38.05
-122.72,38.04
-122.72,38.06
-122.72,38.07
-122.72,38.08
-122.72,38.09
-122.72,38.1
-122.72,38.11
-122.72,38.12
-122.72,38.13
-122.72,38.14
-122.72,38.15
-122.72,38.16
-122.72,38.17
-122.72,38.18
-122.72,38.19
-122.72,38.2
-122.72,38.21
-122.72,38.22
-122.72,38.23
-122.72,38.24
-122.72,38.25
-122.72,38.26
-122.72,38.27
-122.72,38.28
-122.72,38.29
-122.72,38.3
-122.72,38.31
-122.72,38.32
-122.72,38.33
-122.72,38.34
-122.72,38.35
-122.72,38.36
-122.72,38.37
-122.72,38.38
-122.72,38.39
-122.72,38.4
-122.72,38.41
-122.72,38.42
-122.72,38.43
-122.72,38.44
-122.72,38.45
-122.72,38.46
-122.72,38.47
-122.72,38.48
-122.72,38.49
-122.72,38.5
-122.72,38.51
-122.72,38.52
-122.72,38.53
-122.72,38.54
-122.72,38.55
-122.72,38.56
-122.72,38.57
-122.72,38.58
-122.72,38.59
-122.72,38.6
-122.72,38.61
-122.72,38.62
-122.72,38.63
-122.72,38.64
-122.72,38.65
-122.72,38.66
-122.72,38.67
-122.72,38.68
-122.72,38.69
-122.72,38.7
-122.72,38.71
-122.72,38.72
-122.72,38.73
-122.72,38.74
-122.72,38.75
-122.72,38.02
-122.72,38.03
-122.71,38.03
-122.71,38.02
-122.71,38.04
-122.71,38.05
-122.71,38.06
-122.71,38.07
-122.71,38.08
-122.71,38.09
-122.71,38.1
-122.71,38.11
-122.71,38.12
-122.71,38.13
-122.71,38.14
-122.71,38.15
-122.71,38.16
-122.71,38.17
-122.71,38.18
-122.71,38.19
-122.71,38.2
-122.71,38.21
-122.71,38.22
-122.71,38.23
-122.71,38.24
-122.71,38.25
-122.71,38.26
-122.71,38.27
-122.71,38.28
-122.71,38.29
-122.71,38.3
-122.71,38.31
-122.71,38.32
-122.71,38.33
-122.71,38.34
-122.71,38.35
-122.71,38.36
-122.71,38.37
-122.71,38.38
-122.71,38.39
-122.71,38.4
-122.71,38.41
-122.71,38.42
-122.71,38.43
-122.71,38.44
-122.71,38.45
-122.71,38.46
-122.71,38.47
-122.71,38.48
-122.71,38.49
-122.71,38.5
-122.71,38.51
-122.71,38.52
-122.71,38.53
-122.71,38.54
-122.71,38.55
-122.71,38.56
-122.71,38.57
-122.71,38.58
-122.71,38.59
-122.71,38.6
-122.71,38.61
-122.71,38.62
-122.71,38.63
-122.71,38.64
-122.71,38.65
-122.71,38.66
-122.71,38.67
-122.71,38.68
-122.71,38.69
-122.71,38.7
-122.71,38.71
-122.71,38.72
-122.71,38.73
-122.71,38.74
-122.71,38.75
-122.71,38.01
-122.7,38.02
-122.7,38.01
-122.7,38.03
-122.7,38.04
-122.7,38.05
-122.7,38.06
-122.7,38.07
-122.7,38.08
-122.7,38.09
-122.7,38.1
-122.7,38.11
-122.7,38.12
-122.7,38.13
-122.7,38.14
-122.7,38.15
-122.7,38.16
-122.7,38.17
-122.7,38.18
-122.7,38.19
-122.7,38.2
-122.7,38.21
-122.7,38.22
-122.7,38.23
-122.7,38.24
-122.7,38.25
-122.7,38.26
-122.7,38.27
-122.7,38.28
-122.7,38.29
-122.7,38.3
-122.7,38.31
-122.7,38.32
-122.7,38.33
-122.7,38.34
-122.7,38.35
-122.7,38.36
-122.7,38.37
-122.7,38.38
-122.7,38.39
-122.7,38.4
-122.7,38.41
-122.7,38.42
-122.7,38.43
-122.7,38.44
-122.7,38.45
-122.7,38.46
-122.7,38.47
-122.7,38.48
-122.7,38.49
-122.7,38.5
-122.7,38.51
-122.7,38.52
-122.7,38.53
-122.7,38.54
-122.7,38.55
-122.7,38.56
-122.7,38.57
-122.7,38.58
-122.7,38.59
-122.7,38.6
-122.7,38.61
-122.7,38.62
-122.7,38.63
-122.7,38.64
-122.7,38.65
-122.7,38.66
-122.7,38.67
-122.7,38.68
-122.7,38.69
-122.7,38.7
-122.7,38.71
-122.7,38.72
-122.7,38.73
-122.7,38.74
-122.7,38.0
-122.69,38.01
-122.69,38.0
-122.69,38.02
-122.69,38.03
-122.69,38.04
-122.69,38.05
-122.69,38.06
-122.69,38.07
-122.69,38.08
-122.69,38.09
-122.69,38.1
-122.69,38.11
