ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING
14567,-121.1492844,37.42204666,-121.1493073,37.42209625,-121.14929585,37.422071455,0.005873,1401,127.0,14567,1,2.9,338.7,37.0,121.69999999999999
15222,-121.8468357,39.07930703,-121.846803,39.08019072,-121.84681935,39.079748875,0.098302,1493,152.4,15222,1,147.2,0.9,221.0,139.9
15309,-121.9691468,39.05470168,-121.969166,39.05397029,-121.9691564,39.054335985,0.081344,1499,152.4,15309,1,238.5,180.5,-1.0,135.0
15602,-121.6272898,39.06892851,-121.6284345,39.06894121,-121.62786215,39.06893486,0.098833,1508,152.4,15602,1,148.6,270.0,273.0,177.00000000000009
15784,-121.3475157,39.07821392,-121.3463956,39.0784029,-121.34695565,39.07830841,0.098943,1510,152.4,15784,1,1654.6,76.7,336.0,100.69999999999999
15784,-121.3475157,39.07821392,-121.3463956,39.0784029,-121.34695565,39.07830841,0.098943,1510,152.4,15784,1,1654.6,76.7,336.0,100.69999999999999
16090,-121.1433551,39.21018115,-121.1423168,39.21012301,-121.14283595,39.21015208,0.089691,1510,152.4,16090,1,155.9,92.9,298.0,154.90000000000003
16234,-121.2248159,38.78861087,-121.2242092,38.78862224,-121.22451255,38.788616555,0.052599,1514,152.4,16234,1,26.4,87.5,133.0,134.5
16375,-121.8468102,38.73561809,-121.8458285,38.73560446,-121.84631935,38.735611275,0.085163,1515,152.4,16375,1,213.4,90.3,4.0,93.70000000000002
16458,-121.8026563,38.71978602,-121.8023398,38.71976989,-121.80249805,38.719777955,0.027517,1516,152.4,16458,1,13.8,93.0,88.0,175.00000000000009
16819,-122.3823394,40.57204097,-122.383007,40.57228628,-122.3826732,40.572163625,0.062638,1523,152.4,16819,1,485.9,295.3,110.0,174.70000000000007
16833,-122.3902551,40.57664906,-122.3903544,40.57713891,-122.39030475,40.576893985,0.055111,1523,152.4,16833,1,252.6,350.8,101.0,110.2
17511,-122.1284818,39.60009062,-122.1280807,39.60092441,-122.12828125,39.600507515,0.098877,1529,152.4,17511,1,10670.2,19.9,129.0,109.1
18132,-121.8179282,39.41668884,-121.8179215,39.41599013,-121.81792485,39.416339485,0.077695,1533,152.4,18132,1,129.5,178.8,179.0,179.80000000000018
18331,-121.7010121,39.14869271,-121.7019365,39.14870238,-121.7014743,39.148697545,0.079721,1541,152.4,18331,1,1052.2,269.9,296.0,153.9
18718,-122.6536694,38.46167131,-122.6532809,38.46133886,-122.65347515,38.461505085,0.050107,1549,152.4,18718,1,1634.8,137.2,165.0,152.2
18776,-122.6219494,38.45324835,-122.6210706,38.45283474,-122.62151,38.453041545,0.089282,1549,152.4,18776,1,1223.0,120.7,291.0,170.29999999999998
19205,-122.4517983,38.25261532,-122.4514086,38.25179863,-122.45160345,38.252206975,0.096978,1549,152.4,19205,1,1104.1,159.0,57.0,102.00000000000001
19425,-122.784777,38.51069876,-122.7842882,38.51014209,-122.7845326,38.510420425,0.075102,1550,152.4,19425,1,1875.4,145.3,39.0,106.3
19487,-122.7109156,38.41654871,-122.710001,38.41655515,-122.7104583,38.41655193,0.079686,1552,152.4,19487,1,254.5,89.3,280.0,169.3
19889,-122.2197928,38.08926559,-122.2190598,38.08910056,-122.2194263,38.089183075,0.066722,1576,152.4,19889,1,328.6,105.4,226.0,120.59999999999998
20433,-121.5219345,38.57365036,-121.5219193,38.57364273,-121.5219269,38.573646545,0.00157,1594,152.4,20433,1,0.8,121.7,102.0,160.3
20514,-121.5576247,38.65546852,-121.557783,38.6555185,-121.55770385,38.65549351,0.014827,1595,152.4,20514,1,1567.5,291.0,329.0,142.0
20713,-121.4352694,38.52510787,-121.4341808,38.5251138,-121.4347251,38.525110835,0.094701,1601,152.4,20713,1,1880.2,88.6,185.0,96.4
20891,-121.345021,38.55114809,-121.3452638,38.5518417,-121.3451424,38.551494895,0.079964,1605,152.4,20891,1,469.2,343.6,273.0,109.40000000000002
21053,-121.787625,38.49321016,-121.7876223,38.49383313,-121.78762365,38.493521645,0.069272,1608,152.4,21053,1,283.5,359.4,194.0,165.39999999999998
21755,-121.374722,38.14580772,-121.374701,38.1457591,-121.3747115,38.14578341,0.00571,1625,152.4,21755,1,2.9,160.2,233.0,107.19999999999997
22182,-122.0675507,38.0179863,-122.0673027,38.01742744,-122.0674267,38.01770687,0.065831,1639,152.4,22182,1,98.6,160.1,260.0,99.90000000000002
