site_id,lon,lat,vs30,z1p0,z2p5,vs30_source
127,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
128,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
129,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
130,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
131,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
132,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
133,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
134,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
135,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
136,-121.45,38.45,386.6,0.608,2.504615234,0.0
137,-121.45,38.45,386.6,0.608,2.504615234,0.0
138,-121.45,38.45,386.6,0.608,2.504615234,0.0
139,-121.45,38.45,386.6,0.608,2.504615234,0.0
140,-121.45,38.45,386.6,0.608,2.504615234,0.0
141,-121.45,38.45,386.6,0.608,2.504615234,0.0
142,-121.45,38.45,386.6,0.608,2.504615234,0.0
143,-121.45,38.45,386.6,0.608,2.504615234,0.0
144,-121.45,38.45,386.6,0.608,2.504615234,0.0
145,-121.45,38.45,386.6,0.608,2.504615234,0.0
146,-121.45,38.45,386.6,0.608,2.504615234,0.0
147,-121.45,38.45,386.6,0.608,2.504615234,0.0
148,-121.45,38.45,386.6,0.608,2.504615234,0.0
149,-121.45,38.45,386.6,0.608,2.504615234,0.0
150,-121.45,38.45,386.6,0.608,2.504615234,0.0
151,-121.45,38.45,386.6,0.608,2.504615234,0.0
152,-121.45,38.45,386.6,0.608,2.504615234,0.0
153,-121.45,38.45,386.6,0.608,2.504615234,0.0
154,-121.45,38.45,386.6,0.608,2.504615234,0.0
155,-121.45,38.45,386.6,0.608,2.504615234,0.0
156,-121.45,38.45,386.6,0.608,2.504615234,0.0
157,-121.45,38.45,386.6,0.608,2.504615234,0.0
158,-121.45,38.45,386.6,0.608,2.504615234,0.0
159,-121.45,38.45,386.6,0.608,2.504615234,0.0
160,-121.45,38.45,386.6,0.608,2.504615234,0.0
161,-121.45,38.45,386.6,0.608,2.504615234,0.0
162,-121.45,38.45,386.6,0.608,2.504615234,0.0
163,-121.45,38.45,386.6,0.608,2.504615234,0.0
164,-121.45,38.45,386.6,0.608,2.504615234,0.0
165,-121.45,38.45,386.6,0.608,2.504615234,0.0
166,-121.45,38.45,386.6,0.608,2.504615234,0.0
167,-121.45,38.45,386.6,0.608,2.504615234,0.0
168,-121.45,38.45,386.6,0.608,2.504615234,0.0
169,-121.45,38.45,386.6,0.608,2.504615234,0.0
170,-121.45,38.45,386.6,0.608,2.504615234,0.0
171,-121.45,38.45,386.6,0.608,2.504615234,0.0
172,-121.45,38.45,386.6,0.608,2.504615234,0.0
173,-121.45,38.45,386.6,0.608,2.504615234,0.0
174,-121.45,38.45,386.6,0.608,2.504615234,0.0
175,-121.45,38.45,386.6,0.608,2.504615234,0.0
176,-121.45,38.45,386.6,0.608,2.504615234,0.0
177,-121.45,38.45,386.6,0.608,2.504615234,0.0
178,-121.45,38.45,386.6,0.608,2.504615234,0.0
179,-121.45,38.45,386.6,0.608,2.504615234,0.0
180,-121.45,38.45,386.6,0.608,2.504615234,0.0
181,-121.45,38.45,386.6,0.608,2.504615234,0.0
182,-121.45,38.45,386.6,0.608,2.504615234,0.0
183,-121.45,38.45,386.6,0.608,2.504615234,0.0
184,-121.45,38.45,386.6,0.608,2.504615234,0.0
185,-121.45,38.45,386.6,0.608,2.504615234,0.0
186,-121.45,38.45,386.6,0.608,2.504615234,0.0
187,-121.45,38.45,386.6,0.608,2.504615234,0.0
188,-121.4,38.45,386.6,0.608,1.806666748,0.0
189,-121.4,38.45,386.6,0.608,1.806666748,0.0
190,-121.4,38.45,386.6,0.608,1.806666748,0.0
191,-121.4,38.45,386.6,0.608,1.806666748,0.0
192,-121.4,38.45,386.6,0.608,1.806666748,0.0
193,-121.4,38.45,386.6,0.608,1.806666748,0.0
194,-121.4,38.45,386.6,0.608,1.806666748,0.0
195,-121.4,38.45,386.6,0.608,1.806666748,0.0
196,-121.4,38.45,386.6,0.608,1.806666748,0.0
197,-121.4,38.45,386.6,0.608,1.806666748,0.0
198,-121.4,38.45,386.6,0.608,1.806666748,0.0
199,-121.4,38.45,386.6,0.608,1.806666748,0.0
200,-121.4,38.45,386.6,0.608,1.806666748,0.0
201,-121.4,38.45,386.6,0.608,1.806666748,0.0
202,-121.4,38.45,386.6,0.608,1.806666748,0.0
203,-121.4,38.45,386.6,0.608,1.806666748,0.0
204,-121.4,38.45,386.6,0.608,1.806666748,0.0
205,-121.4,38.45,386.6,0.608,1.806666748,0.0
206,-121.4,38.4,386.6,0.608,2.105915527,0.0
207,-121.4,38.4,386.6,0.608,2.105915527,0.0
208,-121.4,38.4,386.6,0.608,2.105915527,0.0
209,-121.4,38.4,386.6,0.608,2.105915527,0.0
210,-121.4,38.4,386.6,0.608,2.105915527,0.0
211,-121.4,38.4,386.6,0.608,2.105915527,0.0
212,-121.4,38.4,386.6,0.608,2.105915527,0.0
213,-121.4,38.4,386.6,0.608,2.105915527,0.0
214,-121.4,38.4,386.6,0.608,2.105915527,0.0
215,-121.4,38.4,386.6,0.608,2.105915527,0.0
216,-121.4,38.4,386.6,0.608,2.105915527,0.0
217,-121.4,38.4,386.6,0.608,2.105915527,0.0
218,-121.4,38.4,386.6,0.608,2.105915527,0.0
219,-121.4,38.4,386.6,0.608,2.105915527,0.0
