event_id,magnitude,annual_rate,dip,rake,dip_dir,z_tor,z_bor,fault_trace
29.0,6.85,6.1e-05,90.0,-1.8,60.8,0.0,13.0,"[[-115.92, 34.922, 0.0], [-115.953, 34.971, 0.0], [-115.985, 35.021, 0.0], [-116.018, 35.071, 0.0], [-116.051, 35.12, 0.0], [-116.083, 35.17, 0.0], [-116.108, 35.207, 0.0], [-116.117, 35.219, 0.0]]"
30.0,6.85,6.1e-05,90.0,-1.8,60.8,0.0,13.0,"[[-116.117, 35.219, 0.0], [-116.153, 35.267, 0.0], [-116.189, 35.315, 0.0], [-116.199, 35.328, 0.0], [-116.21, 35.368, 0.0], [-116.226, 35.423, 0.0], [-116.242, 35.478, 0.0], [-116.253, 35.518, 0.0], [-116.266, 35.528, 0.0], [-116.315, 35.566, 0.0], [-116.317, 35.567, 0.0]]"
31.0,7.35,1.18e-05,90.0,-1.8,60.8,0.0,13.0,"[[-115.92, 34.922, 0.0], [-115.953, 34.971, 0.0], [-115.985, 35.021, 0.0], [-116.018, 35.071, 0.0], [-116.051, 35.12, 0.0], [-116.083, 35.17, 0.0], [-116.108, 35.207, 0.0], [-116.117, 35.219, 0.0], [-116.153, 35.267, 0.0], [-116.189, 35.315, 0.0], [-116.199, 35.328, 0.0], [-116.21, 35.368, 0.0], [-116.226, 35.423, 0.0], [-116.242, 35.478, 0.0], [-116.253, 35.518, 0.0], [-116.266, 35.528, 0.0], [-116.315, 35.566, 0.0], [-116.317, 35.567, 0.0]]"
32.0,6.45,0.000708,90.0,1.6,58.1,0.0,14.5,"[[-122.499, 38.997, 0.0], [-122.552, 39.047, 0.0], [-122.597, 39.09, 0.0], [-122.603, 39.097, 0.0]]"
33.0,6.45,0.000708,90.0,1.6,58.1,0.0,14.5,"[[-122.603, 39.097, 0.0], [-122.651, 39.149, 0.0], [-122.653, 39.152, 0.0], [-122.714, 39.19, 0.0], [-122.756, 39.216, 0.0], [-122.772, 39.235, 0.0]]"
34.0,6.45,0.000708,90.0,1.6,58.1,0.0,14.5,"[[-122.772, 39.235, 0.0], [-122.817, 39.289, 0.0], [-122.863, 39.342, 0.0], [-122.869, 39.35, 0.0], [-122.914, 39.393, 0.0], [-122.92, 39.398, 0.0]]"
35.0,6.45,0.000708,90.0,1.6,58.1,0.0,14.5,"[[-122.92, 39.398, 0.0], [-122.948, 39.451, 0.0], [-122.956, 39.466, 0.0], [-122.987, 39.507, 0.0], [-123.029, 39.562, 0.0], [-123.046, 39.583, 0.0]]"
36.0,6.45,0.000708,90.0,1.6,58.1,0.0,14.5,"[[-123.046, 39.583, 0.0], [-123.079, 39.613, 0.0], [-123.121, 39.65, 0.0], [-123.137, 39.659, 0.0], [-123.205, 39.696, 0.0], [-123.218, 39.703, 0.0]]"
37.0,6.45,0.000708,90.0,1.6,58.1,0.0,14.5,"[[-123.218, 39.703, 0.0], [-123.263, 39.742, 0.0], [-123.27, 39.748, 0.0], [-123.287, 39.802, 0.0], [-123.288, 39.805, 0.0], [-123.318, 39.862, 0.0]]"
38.0,6.45,0.000708,90.0,1.6,58.1,0.0,14.5,"[[-123.318, 39.862, 0.0], [-123.339, 39.9, 0.0], [-123.356, 39.919, 0.0], [-123.396, 39.963, 0.0], [-123.402, 39.972, 0.0]]"
