ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,psi_dip,beta_crossing
7284,-121.5965118,39.20812225,-121.5965958,39.20832062,-121.5965538,39.208221435,0.023215,1117,101.6,7284,1,11.6,340.9,95.0,114.10000000000004,,11.6,-121.90589842430906,5.618735536405935,0.25,75,90
7385,-121.596406,39.26990114,-121.5962522,39.27077935,-121.5963291,39.270340245,0.098546,1117,101.6,7385,1,2061.9,6.9,179.0,172.1,,2061.9,-121.90668948110283,5.61794598186167,0.25,75,90
7478,-122.1177251,39.11578788,-122.1187804,39.11579058,-122.11825275,39.11578923,0.091044,1120,101.6,7478,1,228.1,269.6,105.0,164.60000000000002,,228.1,-122.3121480104443,5.212795707688174,0.25,75,90
7662,-121.7334786,39.13483971,-121.7325809,39.13481957,-121.73302975,39.13482964,0.077459,1126,101.6,7662,1,38.8,90.9,187.0,96.1,,38.8,-122.0114341084104,5.513368463592255,0.25,75,90
7911,-122.5205855,37.95862067,-122.5210283,37.95826034,-122.5208069,37.958440505,0.055789,1142,101.6,7911,1,254.8,223.9,37.0,173.10000000000002,,254.8,-122.62031828690687,4.904282107669109,0.25,75,90
8438,-121.3961027,38.40889238,-121.3954747,38.40889487,-121.3957887,38.408893625,0.05472,1154,101.6,8438,1,545.4,88.7,242.0,153.3,,545.4,-121.7349713339998,5.78925159038022,0.25,75,90
8479,-121.2525368,37.87316286,-121.2519137,37.87275056,-121.25222525,37.87295671,0.071366,1159,101.6,8479,1,132.4,128.8,326.0,162.80000000000004,,132.4,-121.6113504414357,5.912465344344835,0.25,75,90
8757,-122.1291932,38.06912445,-122.1288241,38.06867213,-122.12900865,38.06889829,0.05978,1173,101.6,8757,1,39.8,146.6,232.0,94.59999999999997,,39.8,-122.31059646054878,5.214347772099216,0.25,75,90
9189,-121.4226456,38.11985938,-121.4226456,38.11911212,-121.4226456,38.11948575,0.083092,1176,101.6,9189,1,422.3,179.0,257.0,102.0,,422.3,-121.75123767947507,5.773031865895866,0.25,75,90
9240,-121.399598,38.14031483,-121.3995836,38.13960411,-121.3995908,38.13995947,0.079038,1177,101.6,9240,1,683.9,178.1,262.0,96.09999999999998,,683.9,-121.73330153473049,5.790916513232391,0.25,75,90
9359,-121.4315114,38.09809452,-121.4319665,38.09760411,-121.43173895,38.097849315,0.067525,1179,101.6,9359,1,33.7,215.3,245.0,150.30000000000004,,33.7,-121.75808456987201,5.766204121589345,0.25,75,90
9382,-121.4246297,38.085268,-121.4242635,38.0845937,-121.4244466,38.08493085,0.081542,1179,101.6,9382,1,203.6,155.8,179.0,156.79999999999998,,203.6,-121.75207751616482,5.772194392867791,0.25,75,90
9513,-121.3466515,38.00021253,-121.3468454,38.00024584,-121.34674845,38.000229185,0.017389,1185,101.6,9513,1,303.1,281.2,238.0,136.80000000000004,,303.1,-121.68888758550041,5.8351945347215635,0.25,75,90
9726,-121.3114001,37.94027118,-121.3113893,37.93999995,-121.3113947,37.940135565,0.030174,1191,101.6,9726,1,314.0,177.2,298.0,120.8,,314.0,-121.65969175041998,5.8642944431569966,0.25,75,90
9787,-121.2453556,37.90503354,-121.2446326,37.90522927,-121.2449941,37.905131405,0.067063,1193,101.6,9787,1,916.4,70.1,308.0,122.1,,916.4,-121.60619970762518,5.917597064839103,0.25,75,90
10029,-121.4532121,37.84418483,-121.4533642,37.84361452,-121.45328815,37.843899675,0.064807,1203,101.6,10029,1,182.1,191.0,338.0,147.0,,182.1,-121.77094820008683,5.753375698917968,0.25,75,90
