z,qt,fs,u2
3.55,25.24,0.3173,0
3.6,13.63,0.1796,0
3.65,8.14,0.1107,0
3.7,4.58,0.1,0
3.75,4.45,0.0976,0
3.8,4.85,0.2271,0
3.85,25.79,0.1486,0
3.9,12.01,0.0467,0
3.95,6.78,0.0699,0
4,2.76,0.0877,0
4.05,1.11,0.055,0
4.1,0.55,0.027,0
4.15,1.12,0.0149,0
4.2,1.61,0.0156,0
4.25,0.95,0.0263,0
4.3,1.38,0.0245,0
4.35,3.65,0.0342,0
4.4,3.79,0.0509,0
4.45,2.71,0.0428,0
4.5,1.74,0.0394,0
4.55,0.83,0.033,0
4.6,0.72,0.0358,0
4.65,3.38,0.0157,0
4.7,6.68,0.0246,0
4.75,5.46,0.05,0
4.8,2.79,0.0696,0
4.85,1.17,0.05,0
4.9,0.87,0.0215,0
4.95,0.59,0.0147,0
5,0.3,0.0119,0
5.05,0.31,0.0121,0
5.1,0.44,0.0109,0
5.15,0.58,0.013,0
5.2,0.37,0.0113,0
5.25,0.41,0.0123,0
5.3,0.36,0.0129,0
5.35,0.57,0.0163,0
5.4,0.63,0.0146,0
5.45,0.99,0.0119,0
5.5,0.66,0.0187,0
5.55,0.57,0.0202,0
5.6,0.89,0.0243,0
5.65,1.6,0.0521,0
5.7,0.69,0.0362,0
5.75,1.94,0.0283,0
5.8,3.23,0.0355,0
5.85,2.64,0.0517,0
5.9,1.42,0.0458,0
5.95,0.56,0.0296,0
6,1,0.0147,0
6.05,0.5,0.0144,0
6.1,0.2,0.0123,0
6.15,0.37,0.0095,0
6.2,0.34,0.0116,0
6.25,0.21,0.0135,0
6.3,0.89,0.0149,0
6.35,0.9,0.0105,0
6.4,1.74,0.01,0
6.45,0.93,0.0079,0
6.5,0.6,0.011,0
6.55,0.38,0.0104,0
6.6,0.81,0.0089,0
6.65,0.55,0.0078,0
6.7,0.53,0.0093,0
6.75,0.36,0.0085,0
6.8,0.35,0.0101,0
6.85,0.54,0.0072,0
6.9,0.72,0.0088,0
6.95,0.52,0.0087,0
7,0.53,0.0103,0
7.05,0.73,0.0113,0
7.1,0.64,0.0094,0
7.15,0.9,0.0112,0
7.2,0.66,0.0093,0
7.25,0.65,0.0103,0
7.3,0.34,0.0117,0
7.35,0.76,0.0102,0
7.4,0.63,0.0112,0
7.45,0.61,0.0103,0
7.5,0.91,0.0093,0
7.55,0.61,0.0108,0
7.6,0.4,0.0104,0
7.65,0.7,0.0081,0
7.7,0.77,0.011,0
7.75,0.69,0.0068,0
7.8,0.7,0.0087,0
7.85,0.46,0.0118,0
7.9,0.46,0.0112,0
7.95,0.8,0.0132,0
8,0.81,0.0109,0
8.05,0.81,0.0116,0
8.1,0.4,0.0118,0
8.15,0.62,0.0137,0
8.2,0.5,0.0118,0
8.25,0.58,0.0122,0
8.3,0.44,0.0143,0
8.35,0.49,0.0137,0
8.4,0.86,0.0123,0
8.45,0.63,0.0173,0
8.5,0.63,0.0145,0
8.55,0.88,0.0108,0
8.6,0.58,0.0074,0
8.65,0.63,0.0103,0
8.7,0.46,0.0076,0
8.75,0.71,0.0089,0
8.8,0.65,0.0078,0
8.85,0.43,0.0074,0
8.9,0.63,0.009,0
8.95,0.68,0.0095,0
9,0.59,0.0102,0
9.05,0.71,0.0098,0
9.1,0.89,0.0122,0
9.15,0.51,0.0172,0
9.2,0.82,0.0307,0
9.25,1.07,0.0471,0
9.3,1.12,0.0519,0
9.35,1.23,0.0463,0
9.4,1.02,0.042,0
9.45,1.19,0.041,0
9.5,1.23,0.0423,0
9.55,1.28,0.0448,0
9.6,1.54,0.0562,0
9.65,1.65,0.0669,0
9.7,1.81,0.0702,0
9.75,1.84,0.0707,0
9.8,1.88,0.0636,0
9.85,1.78,0.0591,0
9.9,1.76,0.0618,0
9.95,2.03,0.0702,0
10,2,0.0735,0
10.05,1.76,0.0648,0
10.1,2.05,0.0603,0
10.15,1.95,0.053,0
10.2,2.06,0.0511,0
10.25,1.84,0.0489,0
10.3,2.03,0.0522,0
10.35,2.15,0.0459,0
10.4,1.74,0.0415,0
10.45,1.94,0.0385,0
10.5,1.6,0.038,0
10.55,1.97,0.0407,0
10.6,1.93,0.045,0
10.65,1.86,0.0388,0
10.7,2.12,0.0386,0
10.75,1.64,0.0324,0
