ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER
8055,-122.1708492,38.14099682,-122.1710511,38.14119538,-122.1709501,38.1410961,0.02827,1145,101.6,365,56,14.1
8076,-122.2267522,38.13075904,-122.2278086,38.13077414,-122.2272804,38.13076659,0.092414,1146,101.6,366,4,46.3
8077,-122.2278086,38.13077414,-122.2288649,38.13078923,-122.2283367,38.13078169,0.092414,1146,101.6,366,5,75.6
8111,-122.1788323,38.06580608,-122.1796822,38.06630178,-122.1792573,38.06605393,0.092597,1147,101.6,367,28,568.6
8119,-122.1835528,38.06991994,-122.1831737,38.07030952,-122.1833632,38.07011473,0.054573,1147,101.6,367,36,27.3
8133,-121.7037948,38.62133547,-121.7048726,38.62128043,-121.7043337,38.62130795,0.093837,1148,101.6,368,1,47
8152,-121.5151995,38.57639908,-121.5146132,38.57628236,-121.5149064,38.57634072,0.052588,1151,101.6,371,11,187.6
8156,-121.5138162,38.57646209,-121.5134825,38.57700387,-121.5136493,38.57673298,0.066863,1151,101.6,371,15,322.6
8243,-121.419436,38.43041742,-121.4186349,38.43042131,-121.4190355,38.43041937,0.069789,1153,101.6,373,60,89.2
8249,-121.4180653,38.42807601,-121.4180774,38.4271963,-121.4180714,38.42763616,0.097825,1153,101.6,373,66,309.4
8259,-121.4170963,38.42333463,-121.4161017,38.42334849,-121.416599,38.42334156,0.086653,1153,101.6,373,76,130.3
8282,-121.4020662,38.42224589,-121.401283,38.42247516,-121.4016746,38.42236053,0.07283,1153,101.6,373,99,151
8288,-121.3997316,38.42227177,-121.3994283,38.4219563,-121.39958,38.42211403,0.043917,1153,101.6,373,105,88.4
8289,-121.3994283,38.4219563,-121.3990555,38.42165592,-121.3992419,38.42180611,0.046588,1153,101.6,373,106,133.6
8311,-121.3920387,38.41794141,-121.3922424,38.41796112,-121.3921406,38.41795126,0.017882,1153,101.6,373,128,9
8405,-121.4178969,38.41490405,-121.4178875,38.41426166,-121.4178922,38.41458285,0.071435,1154,101.6,374,13,641.1
8422,-121.4111602,38.4089067,-121.4104778,38.40892062,-121.410819,38.40891366,0.059476,1154,101.6,374,30,616.3
8484,-121.2495092,37.8712316,-121.2488772,37.87093011,-121.2491932,37.87108085,0.064822,1159,101.6,379,12,471.4
8521,-122.0046833,38.54585235,-122.0046598,38.54573484,-122.0046716,38.54579359,0.013227,1161,101.6,381,12,6.6
8539,-122.0014114,38.54771423,-122.0016308,38.54806138,-122.0015211,38.54788781,0.043057,1163,101.6,383,1,21.5
8548,-122.0047357,38.55077256,-122.0047513,38.55127156,-122.0047435,38.55102206,0.055502,1163,101.6,383,10,83.1
8579,-121.9291734,38.53983551,-121.9302172,38.53947052,-121.9296953,38.53965302,0.09944,1164,101.6,384,15,1317.6
8610,-121.9535326,38.53452933,-121.9536687,38.53400161,-121.9536006,38.53426547,0.059862,1164,101.6,384,46,172.2
8665,-121.7290448,38.31221403,-121.7284317,38.31257248,-121.7287383,38.31239326,0.066712,1170,101.6,390,3,145.3
8668,-121.7275508,38.312866,-121.7269376,38.31308189,-121.7272442,38.31297395,0.058635,1170,101.6,390,6,292
8672,-121.7256529,38.31452144,-121.7251659,38.31508544,-121.7254094,38.31480344,0.075748,1170,101.6,390,10,502.9
8724,-122.1338762,38.08188258,-122.1345308,38.08198055,-122.1342035,38.08193156,0.058321,1173,101.6,393,13,95.3
8727,-122.1352709,38.08202905,-122.1349723,38.08131182,-122.1351216,38.08167043,0.083925,1173,101.6,393,16,41.9
8840,-121.7218444,38.06727292,-121.7222922,38.06666955,-121.7220683,38.06697123,0.077705,1174,101.6,394,80,3321.8
8845,-121.7242246,38.06407794,-121.724743,38.0633855,-121.7244838,38.06373172,0.089376,1174,101.6,394,85,3711.9
8872,-121.7381013,38.04580951,-121.7386187,38.0451468,-121.73836,38.04547816,0.086501,1174,101.6,394,112,1348.5
8899,-121.7486786,38.02966039,-121.7486871,38.02912134,-121.7486828,38.02939087,0.059943,1174,101.6,394,139,441.4
8927,-121.7508978,38.01255965,-121.7509,38.01184429,-121.7508989,38.01220197,0.079545,1174,101.6,394,167,254.6
8946,-121.6913628,38.10043481,-121.6917843,38.09999564,-121.6915736,38.10021523,0.061198,1175,101.6,395,15,731.9
9057,-121.7361742,38.04824658,-121.7366473,38.0476412,-121.7364108,38.04794389,0.079043,1175,101.6,395,126,1670.5
9094,-121.3989574,38.15478234,-121.3989458,38.15431146,-121.3989516,38.1545469,0.052369,1176,101.6,396,7,422
9104,-121.3988382,38.14938461,-121.3988342,38.14927292,-121.3988362,38.14932876,0.012424,1176,101.6,396,17,386.1
9112,-121.3980223,38.145913,-121.3986178,38.14592578,-121.3983201,38.14591939,0.052093,1176,101.6,396,25,26.1
9153,-121.4169486,38.13788914,-121.4175299,38.13788807,-121.4172392,38.1378886,0.050844,1176,101.6,396,66,477.5
9164,-121.4226255,38.13652046,-121.4226267,38.13604937,-121.4226261,38.13628492,0.052383,1176,101.6,396,77,159.9
9165,-121.4226267,38.13604937,-121.422629,38.13516074,-121.4226279,38.13560505,0.098812,1176,101.6,396,78,235.4
9173,-121.4226303,38.13074751,-121.4226303,38.1301476,-121.4226303,38.13044755,0.066707,1176,101.6,396,86,807.7
9221,-121.3987675,38.14988504,-121.3987579,38.14934158,-121.3987627,38.14961331,0.060436,1177,101.6,397,14,399.6
9222,-121.3987579,38.14934158,-121.398734,38.14905663,-121.3987459,38.14919911,0.031755,1177,101.6,397,15,353.6
