lon	lat	depth_m
-118.58309	34.448378	2300.94
-118.583092	34.44838	2308.56
-118.583093	34.44838	2316.18
-118.583095	34.448381	2323.8
-118.583097	34.448382	2331.42
-118.583098	34.448384	2339.04
-118.5831	34.448385	2346.66
-118.583101	34.448385	2354.28
-118.583103	34.448386	2361.9
-118.583104	34.448387	2369.52
-118.583106	34.448388	2377.14
-118.583107	34.448389	2384.76
-118.583109	34.448389	2392.38
-118.58311	34.44839	2400.0
-118.583111	34.448391	2407.62
-118.583112	34.448392	2415.24
-118.583113	34.448393	2422.86
-118.583115	34.448393	2430.48
-118.583116	34.448394	2438.1
-118.583117	34.448395	2445.72
-118.583118	34.448396	2453.34
-118.583119	34.448397	2460.96
-118.583121	34.448398	2468.58
-118.583122	34.448399	2475.89
-118.583123	34.448399	2483.51
-118.583124	34.4484	2491.13
-118.583125	34.448401	2498.75
-118.583127	34.448402	2506.37
-118.583128	34.448402	2513.99
-118.58313	34.448403	2521.61
-118.583131	34.448404	2529.23
-118.583133	34.448404	2536.85
-118.583135	34.448405	2544.47
-118.583136	34.448406	2552.09
-118.583138	34.448406	2559.71
-118.58314	34.448407	2567.33
-118.583141	34.448408	2574.95
-118.583143	34.448408	2582.57
-118.583145	34.448409	2590.19
-118.583147	34.44841	2597.81
-118.583148	34.44841	2605.43
-118.58315	34.448411	2613.05
-118.583152	34.448412	2620.67
-118.583154	34.448413	2628.29
-118.583156	34.448413	2635.91
-118.583157	34.448414	2643.53
-118.583159	34.448415	2651.15
-118.58316	34.448416	2658.77
-118.583162	34.448416	2666.39
-118.583163	34.448417	2674.01
-118.583164	34.448417	2681.63
-118.583165	34.448417	2689.25
-118.583166	34.448418	2696.87
-118.583166	34.448418	2704.49
-118.583167	34.448418	2712.11
-118.583167	34.448419	2719.73
-118.583168	34.448419	2727.35
-118.583169	34.448419	2734.97
-118.583169	34.44842	2742.59
-118.58317	34.44842	2750.21
-118.58317	34.448421	2757.83
-118.58317	34.448422	2765.45
-118.583171	34.448423	2773.07
-118.583171	34.448423	2780.69
-118.583172	34.448424	2788.31
-118.583173	34.448425	2795.93
-118.583173	34.448426	2803.55
-118.583174	34.448427	2811.17
-118.583175	34.448428	2818.79
-118.583178	34.448428	2826.41
-118.583181	34.448427	2834.03
-118.583185	34.448425	2841.65
-118.583189	34.448422	2849.27
-118.583194	34.448419	2856.89
-118.583201	34.448417	2864.51
-118.583211	34.448415	2872.13
-118.583222	34.448414	2879.75
-118.583237	34.448415	2887.07
-118.583253	34.448416	2894.69
-118.583272	34.448418	2902.0
-118.583291	34.448419	2909.32
-118.58331	34.448422	2916.94
-118.58333	34.448424	2924.25
-118.583348	34.448428	2931.57
-118.583362	34.44843	2937.36
-118.583366	34.448431	2939.19
-118.583384	34.448435	2946.5
